xSize,tSize,Solution,Analytic,Error,Time
10,10,0.131481,0.244815,0.462936,0.0026097
10,11,0.129444,0.244815,0.471257,0.004501
10,12,0.127778,0.244815,0.478065,0.0039399
10,13,0.126389,0.244815,0.483738,0.004687
10,14,0.125214,0.244815,0.488538,0.0058324
10,15,0.124206,0.244815,0.492653,0.0063634
10,16,0.123333,0.244815,0.496219,0.0071683
10,17,0.122569,0.244815,0.499339,0.0061113
10,18,0.121895,0.244815,0.502092,0.0062406
10,19,0.121296,0.244815,0.50454,0.0062898
10,20,0.12076,0.244815,0.506729,0.0074929
10,21,0.120278,0.244815,0.5087,0.0070469
10,22,0.119841,0.244815,0.510483,0.0037194
10,23,0.119444,0.244815,0.512104,0.0071633
10,24,0.119082,0.244815,0.513584,0.0086445
10,25,0.11875,0.244815,0.514941,0.0068301
10,26,0.118444,0.244815,0.516189,0.0114283
10,27,0.118162,0.244815,0.517341,0.0101803
10,28,0.117901,0.244815,0.518407,0.007514
10,29,0.117659,0.244815,0.519398,0.0063705
10,30,0.117433,0.244815,0.52032,0.0133576
10,31,0.117222,0.244815,0.521181,0.0111329
10,32,0.117025,0.244815,0.521986,0.0209825
10,33,0.11684,0.244815,0.522741,0.012124
10,34,0.116667,0.244815,0.52345,0.0158574
10,35,0.116503,0.244815,0.524118,0.010202
10,36,0.116349,0.244815,0.524747,0.0103246
10,37,0.116204,0.244815,0.525341,0.0140176
10,38,0.116066,0.244815,0.525904,0.0119889
10,39,0.115936,0.244815,0.526436,0.0149221
10,40,0.115812,0.244815,0.526942,0.0115409
10,41,0.115694,0.244815,0.527422,0.0122356
10,42,0.115583,0.244815,0.527878,0.0106051
10,43,0.115476,0.244815,0.528313,0.0134024
10,44,0.115375,0.244815,0.528728,0.0144167
10,45,0.115278,0.244815,0.529124,0.0144235
10,46,0.115185,0.244815,0.529502,0.0135586
10,47,0.115097,0.244815,0.529864,0.0140861
10,48,0.115012,0.244815,0.53021,0.0144999
10,49,0.114931,0.244815,0.530542,0.0143899
10,50,0.114853,0.244815,0.53086,0.0154297
11,10,0.0277778,0.161268,0.827754,0.0042729
11,11,0.025,0.161268,0.844978,0.0042895
11,12,0.0227273,0.161268,0.859071,0.0043925
11,13,0.0208333,0.161268,0.870815,0.0040386
11,14,0.0192308,0.161268,0.880753,0.0055573
11,15,0.0178571,0.161268,0.88927,0.0054754
11,16,0.0166667,0.161268,0.896652,0.0057383
11,17,0.015625,0.161268,0.903111,0.0058563
11,18,0.0147059,0.161268,0.908811,0.006068
