xValues,tValues,Solution
0,0,0
0.0408163,0,0.0416608
0.0816327,0,0.0850571
0.122449,0,0.130261
0.163265,0,0.177349
0.204082,0,0.226398
0.244898,0,0.277491
0.285714,0,0.330712
0.326531,0,0.386151
0.367347,0,0.443899
0.408163,0,0.504053
0.44898,0,0.566713
0.489796,0,0.631983
0.530612,0,0.699973
0.571429,0,0.770795
0.612245,0,0.844568
0.653061,0,0.921414
0.693878,0,1.00146
0.734694,0,1.08484
0.77551,0,1.1717
0.816327,0,1.26217
0.857143,0,1.35642
0.897959,0,1.45459
0.938776,0,1.55685
0.979592,0,1.66337
1.02041,0,1.77433
1.06122,0,1.88991
1.10204,0,2.0103
1.14286,0,2.13571
1.18367,0,2.26635
1.22449,0,2.40243
1.26531,0,2.54418
1.30612,0,2.69183
1.34694,0,2.84564
1.38776,0,3.00585
1.42857,0,3.17273
1.46939,0,3.34657
1.5102,0,3.52765
1.55102,0,3.71628
1.59184,0,3.91276
1.63265,0,4.11743
1.67347,0,4.33063
1.71429,0,4.55271
1.7551,0,4.78404
1.79592,0,5.02501
1.83673,0,5.27601
1.87755,0,5.53748
1.91837,0,5.80983
1.95918,0,6.09353
2,0,6.48422
0,0.0408163,0.00679859
0.0408163,0.0408163,0.0435104
0.0816327,0.0408163,0.0860088
0.122449,0.0408163,0.131018
0.163265,0.0408163,0.178032
0.204082,0.0408163,0.227027
0.244898,0.0408163,0.278067
0.285714,0.0408163,0.331235
0.326531,0.0408163,0.386617
0.367347,0.0408163,0.444306
0.408163,0.0408163,0.504399
0.44898,0.0408163,0.566996
0.489796,0.0408163,0.6322
0.530612,0.0408163,0.700121
0.571429,0.0408163,0.770871
0.612245,0.0408163,0.844569
0.653061,0.0408163,0.921337
0.693878,0.0408163,1.0013
0.734694,0.0408163,1.0846
0.77551,0.0408163,1.17137
0.816327,0.0408163,1.26175
0.857143,0.0408163,1.3559
0.897959,0.0408163,1.45397
0.938776,0.0408163,1.55613
0.979592,0.0408163,1.66254
1.02041,0.0408163,1.77339
1.06122,0.0408163,1.88885
1.10204,0.0408163,2.00912
1.14286,0.0408163,2.13441
1.18367,0.0408163,2.26491
1.22449,0.0408163,2.40085
1.26531,0.0408163,2.54246
1.30612,0.0408163,2.68996
1.34694,0.0408163,2.84361
1.38776,0.0408163,3.00366
1.42857,0.0408163,3.17037
1.46939,0.0408163,3.34404
1.5102,0.0408163,3.52493
1.55102,0.0408163,3.71337
1.59184,0.0408163,3.90965
1.63265,0.0408163,4.11412
1.67347,0.0408163,4.3271
1.71429,0.0408163,4.54895
1.7551,0.0408163,4.78004
1.79592,0.0408163,5.02077
1.83673,0.0408163,5.27152
1.87755,0.0408163,5.53272
1.91837,0.0408163,5.80873
1.95918,0.0408163,5.05789
2,0.0408163,6.48422
0,0.0816327,0.00698682
0.0408163,0.0816327,0.0445074
0.0816327,0.0816327,0.087048
0.122449,0.0816327,0.13183
0.163265,0.0816327,0.178731
0.204082,0.0816327,0.227658
0.244898,0.0816327,0.278643
0.285714,0.0816327,0.331755
0.326531,0.0816327,0.387081
0.367347,0.0816327,0.444712
0.408163,0.0816327,0.504744
0.44898,0.0816327,0.567277
0.489796,0.0816327,0.632415
0.530612,0.0816327,0.700267
0.571429,0.0816327,0.770945
0.612245,0.0816327,0.844568
0.653061,0.0816327,0.921259
0.693878,0.0816327,1.00114
0.734694,0.0816327,1.08436
0.77551,0.0816327,1.17104
0.816327,0.0816327,1.26133
0.857143,0.0816327,1.35538
0.897959,0.0816327,1.45335
0.938776,0.0816327,1.55541
0.979592,0.0816327,1.66171
1.02041,0.0816327,1.77244
1.06122,0.0816327,1.88779
1.10204,0.0816327,2.00794
1.14286,0.0816327,2.1331
1.18367,0.0816327,2.26347
1.22449,0.0816327,2.39927
1.26531,0.0816327,2.54073
1.30612,0.0816327,2.68809
1.34694,0.0816327,2.84158
1.38776,0.0816327,3.00147
1.42857,0.0816327,3.16801
1.46939,0.0816327,3.3415
1.5102,0.0816327,3.52222
1.55102,0.0816327,3.71046
1.59184,0.0816327,3.90654
