xSize,tSize,Solution,Analytic,Error,Time
10,10,0.931356,0.601223,0.549101,0.002665
10,11,0.936701,0.601223,0.557992,0.0043363
10,12,0.941074,0.601223,0.565266,0.0046247
10,13,0.944719,0.601223,0.571328,0.0050432
10,14,0.947802,0.601223,0.576457,0.0053248
10,15,0.950446,0.601223,0.580853,0.0057266
10,16,0.952737,0.601223,0.584664,0.0055026
10,17,0.954741,0.601223,0.587998,0.0058976
10,18,0.95651,0.601223,0.590939,0.0056008
10,19,0.958082,0.601223,0.593554,0.0068943
10,20,0.959488,0.601223,0.595894,0.0074485
10,21,0.960754,0.601223,0.597999,0.0039646
10,22,0.9619,0.601223,0.599905,0.0052813
10,23,0.962941,0.601223,0.601636,0.0080026
10,24,0.963892,0.601223,0.603218,0.0064134
10,25,0.964763,0.601223,0.604667,0.0059054
10,26,0.965565,0.601223,0.606001,0.0070104
10,27,0.966305,0.601223,0.607232,0.0051761
10,28,0.96699,0.601223,0.608372,0.0059662
10,29,0.967627,0.601223,0.60943,0.0111418
10,30,0.968219,0.601223,0.610416,0.0038037
10,31,0.968772,0.601223,0.611335,0.0101529
10,32,0.969289,0.601223,0.612196,0.0088366
10,33,0.969774,0.601223,0.613002,0.0147671
10,34,0.97023,0.601223,0.61376,0.008883
10,35,0.970659,0.601223,0.614473,0.0085416
10,36,0.971063,0.601223,0.615146,0.0080865
10,37,0.971445,0.601223,0.615781,0.0087569
10,38,0.971806,0.601223,0.616381,0.008567
10,39,0.972148,0.601223,0.61695,0.0096693
10,40,0.972473,0.601223,0.61749,0.006396
10,41,0.972781,0.601223,0.618003,0.0108847
10,42,0.973074,0.601223,0.618491,0.0078034
10,43,0.973354,0.601223,0.618956,0.0122502
10,44,0.97362,0.601223,0.619399,0.0087528
10,45,0.973874,0.601223,0.619822,0.0122418
10,46,0.974117,0.601223,0.620226,0.0066918
10,47,0.97435,0.601223,0.620612,0.0121733
10,48,0.974572,0.601223,0.620982,0.0061239
