xValues,yValues,tValues,Solution
0,0,0,1
0,0.0526316,0,1
0,0.105263,0,1
0,0.157895,0,1
0,0.210526,0,1
0,0.263158,0,1
0,0.315789,0,1
0,0.368421,0,1
0,0.421053,0,1
0,0.473684,0,1
0,0.526316,0,1
0,0.578947,0,1
0,0.631579,0,1
0,0.684211,0,1
0,0.736842,0,1
0,0.789474,0,1
0,0.842105,0,1
0,0.894737,0,1
0,0.947368,0,1
0,1,0,1
0.0526316,0,0,1
0.0526316,0.0526316,0,1
0.0526316,0.105263,0,1
0.0526316,0.157895,0,1
0.0526316,0.210526,0,1
0.0526316,0.263158,0,1
0.0526316,0.315789,0,1
0.0526316,0.368421,0,1
0.0526316,0.421053,0,1
0.0526316,0.473684,0,1
0.0526316,0.526316,0,1
0.0526316,0.578947,0,1
0.0526316,0.631579,0,1
0.0526316,0.684211,0,1
0.0526316,0.736842,0,1
0.0526316,0.789474,0,1
0.0526316,0.842105,0,1
0.0526316,0.894737,0,1
0.0526316,0.947368,0,1
0.0526316,1,0,1
0.105263,0,0,1
0.105263,0.0526316,0,1
0.105263,0.105263,0,1
0.105263,0.157895,0,1
0.105263,0.210526,0,1
0.105263,0.263158,0,1
0.105263,0.315789,0,1
0.105263,0.368421,0,1
0.105263,0.421053,0,1
0.105263,0.473684,0,1
0.105263,0.526316,0,1
0.105263,0.578947,0,1
0.105263,0.631579,0,1
0.105263,0.684211,0,1
0.105263,0.736842,0,1
0.105263,0.789474,0,1
0.105263,0.842105,0,1
0.105263,0.894737,0,1
0.105263,0.947368,0,1
0.105263,1,0,1
0.157895,0,0,1
0.157895,0.0526316,0,1
0.157895,0.105263,0,1
0.157895,0.157895,0,1
0.157895,0.210526,0,1
0.157895,0.263158,0,1
0.157895,0.315789,0,1
0.157895,0.368421,0,1
0.157895,0.421053,0,1
0.157895,0.473684,0,1
0.157895,0.526316,0,1
0.157895,0.578947,0,1
0.157895,0.631579,0,1
0.157895,0.684211,0,1
0.157895,0.736842,0,1
0.157895,0.789474,0,1
0.157895,0.842105,0,1
0.157895,0.894737,0,1
0.157895,0.947368,0,1
0.157895,1,0,1
0.210526,0,0,1
0.210526,0.0526316,0,1
0.210526,0.105263,0,1
0.210526,0.157895,0,1
0.210526,0.210526,0,1
0.210526,0.263158,0,1
0.210526,0.315789,0,1
0.210526,0.368421,0,1
0.210526,0.421053,0,1
0.210526,0.473684,0,1
0.210526,0.526316,0,1
0.210526,0.578947,0,1
0.210526,0.631579,0,1
0.210526,0.684211,0,1
0.210526,0.736842,0,1
0.210526,0.789474,0,1
0.210526,0.842105,0,1
0.210526,0.894737,0,1
0.210526,0.947368,0,1
0.210526,1,0,1
0.263158,0,0,1
0.263158,0.0526316,0,1
0.263158,0.105263,0,1
0.263158,0.157895,0,1
0.263158,0.210526,0,1
0.263158,0.263158,0,1
0.263158,0.315789,0,1
0.263158,0.368421,0,1
0.263158,0.421053,0,1
0.263158,0.473684,0,1
0.263158,0.526316,0,1
0.263158,0.578947,0,1
0.263158,0.631579,0,1
0.263158,0.684211,0,1
0.263158,0.736842,0,1
0.263158,0.789474,0,1
0.263158,0.842105,0,1
0.263158,0.894737,0,1
0.263158,0.947368,0,1
0.263158,1,0,1
0.315789,0,0,1
0.315789,0.0526316,0,1
0.315789,0.105263,0,1
0.315789,0.157895,0,1
0.315789,0.210526,0,1
0.315789,0.263158,0,1
0.315789,0.315789,0,1
0.315789,0.368421,0,1
0.315789,0.421053,0,1
0.315789,0.473684,0,1
0.315789,0.526316,0,1
0.315789,0.578947,0,1
0.315789,0.631579,0,1
0.315789,0.684211,0,1
0.315789,0.736842,0,1
0.315789,0.789474,0,1
0.315789,0.842105,0,1
0.315789,0.894737,0,1
0.315789,0.947368,0,1
0.315789,1,0,1
0.368421,0,0,1
0.368421,0.0526316,0,1
0.368421,0.105263,0,1
0.368421,0.157895,0,1
0.368421,0.210526,0,1
0.368421,0.263158,0,1
0.368421,0.315789,0,1
0.368421,0.368421,0,1
0.368421,0.421053,0,1
0.368421,0.473684,0,1
0.368421,0.526316,0,1
0.368421,0.578947,0,1
0.368421,0.631579,0,1
0.368421,0.684211,0,1
0.368421,0.736842,0,1
0.368421,0.789474,0,1
0.368421,0.842105,0,1
0.368421,0.894737,0,1
0.368421,0.947368,0,1
0.368421,1,0,1
0.421053,0,0,1
0.421053,0.0526316,0,1
0.421053,0.105263,0,1
0.421053,0.157895,0,1
0.421053,0.210526,0,1
0.421053,0.263158,0,1
0.421053,0.315789,0,1
0.421053,0.368421,0,1
0.421053,0.421053,0,1
0.421053,0.473684,0,1
0.421053,0.526316,0,1
0.421053,0.578947,0,1
0.421053,0.631579,0,1
0.421053,0.684211,0,1
0.421053,0.736842,0,1
0.421053,0.789474,0,1
0.421053,0.842105,0,1
0.421053,0.894737,0,1
0.421053,0.947368,0,1
0.421053,1,0,1
0.473684,0,0,1
0.473684,0.0526316,0,1
0.473684,0.105263,0,1
0.473684,0.157895,0,1
0.473684,0.210526,0,1
0.473684,0.263158,0,1
0.473684,0.315789,0,1
0.473684,0.368421,0,1
0.473684,0.421053,0,1
0.473684,0.473684,0,1
0.473684,0.526316,0,1
0.473684,0.578947,0,1
0.473684,0.631579,0,1
0.473684,0.684211,0,1
0.473684,0.736842,0,1
0.473684,0.789474,0,1
0.473684,0.842105,0,1
0.473684,0.894737,0,1
0.473684,0.947368,0,1
0.473684,1,0,1
0.526316,0,0,1
0.526316,0.0526316,0,1
0.526316,0.105263,0,1
0.526316,0.157895,0,1
0.526316,0.210526,0,1
