Explicit,CN
0.0252327,0.0285185
0.0214698,0.0352411
0.0251267,0.0221628
0.022091,0.0257528
0.0297304,0.0221362
0.0265312,0.0328886
0.0236635,0.0248988
0.0242555,0.0234433
0.0216789,0.0213123
0.0245135,0.025581
0.0267027,0.0246911
0.0249972,0.021275
0.0264927,0.0197502
0.0252645,0.024182
0.0263582,0.0215653
0.0224213,0.0239078
0.0233618,0.0248644
0.0234382,0.0233276
0.0216102,0.0260162
0.0244662,0.0195643
0.0223807,0.0228605
0.0209981,0.0661715
0.0249801,0.0239726
0.0196459,0.0226764
0.0180598,0.0293606
0.0240658,0.0240875
0.023172,0.0229347
0.0227763,0.0205897
0.0242787,0.02344
0.024755,0.025024
0.0231663,0.0187429
0.0214626,0.025523
0.026194,0.0248524
0.0241199,0.0246334
0.0193141,0.024508
0.0211668,0.0235437
0.0209955,0.0206016
0.0221467,0.018704
0.0218498,0.0238102
0.0196213,0.0203263
0.0210222,0.024258
0.0193833,0.0199676
0.0221886,0.0245672
0.0234057,0.0232599
0.0245229,0.0261614
0.0214537,0.0218329
0.0209066,0.0244445
0.0233032,0.0252385
0.0219093,0.020315
0.0223845,0.0228377
0.0269705,0.0553077
0.0269214,0.0301113
0.0222166,0.019105
0.0258786,0.0239805
0.024752,0.0222142
0.0220638,0.026857
0.019742,0.0299555
0.0249286,0.0251543
0.0255925,0.0200136
0.019597,0.0228211
0.0202114,0.0219194
0.0238132,0.0273528
0.0201716,0.0335211
0.0203984,0.0212404
0.0201482,0.0190646
0.021575,0.0319813
0.0289314,0.0360933
0.0207131,0.0180014
0.0204761,0.0245139
0.0239358,0.0292668
0.047684,0.0210772
0.0233139,0.0253734
0.0223459,0.0253742
0.0251128,0.02283
0.021667,0.0256384
0.113722,0.0298972
0.024446,0.0267335
0.0225681,0.0247468
0.0227603,0.0187646
0.0202555,0.0224302
0.0245993,0.0258498
0.0254149,0.0231735
0.0190053,0.0208388
0.0226328,0.025967
0.0230256,0.0486929
0.0198058,0.0207721
0.0217378,0.0233145
0.0249149,0.0251106
0.0232977,0.0253034
0.0308646,0.0210001
0.0212812,0.0213111
0.0219262,0.0240503
0.0224021,0.0345393
0.0198464,0.0249635
0.0231266,0.0217808
0.0229792,0.0212197
0.0192203,0.0217349
0.0225613,0.0207567
0.0219354,0.0249139
0.0291344,0.0292781
0.025514,0.0173919
0.0187204,0.0245922
0.021296,0.0238875
0.0289313,0.0236231
0.0245384,0.0250996
0.0216901,0.024164
0.0206844,0.0198902
0.021294,0.0241214
0.0222221,0.023773
0.0210996,0.0215936
0.0253817,0.0209874
0.0248478,0.0245077
0.0279303,0.022188
0.0196431,0.0214927
0.0199965,0.022489
0.022945,0.0198446
0.0242167,0.0231644
0.0214314,0.0336451
0.020351,0.0257507
0.028544,0.0249943
0.0236178,0.0265211
0.0211305,0.0228627
0.0198488,0.0220158
0.0264354,0.0199409
0.0251809,0.0194525
0.0194658,0.0233109
0.0235827,0.0214424
0.0177541,0.0219901
0.0255329,0.0206716
0.0219922,0.0238844
0.0240132,0.0210784
0.0208479,0.0223944
0.0197546,0.0260354
0.0197656,0.0263039
0.0222041,0.0255402
0.0234933,0.0257244
0.0204933,0.021397
0.0240105,0.020011
0.0224644,0.0233284
0.0219506,0.0254875
0.021819,0.0233272
0.0221713,0.023974
0.0222735,0.0233542
0.0227388,0.0227071
0.0229784,0.0218781
0.0242446,0.0189679
0.0260852,0.029348
0.0241708,0.0206059
0.0214774,0.0217995
0.0185828,0.0230798
0.0179766,0.0245673
0.0231319,0.0202213
0.0188043,0.0219446
0.0198206,0.0228602
0.0241731,0.0242764
0.026128,0.0249724
0.027886,0.0205756
0.0363488,0.0208864
0.0196341,0.0179546
0.0227927,0.0267525
0.0180217,0.0237654
0.0245998,0.0238235
0.0222235,0.0218708
0.0199409,0.0252118
0.0242813,0.024915
0.0222601,0.0248155
0.0203664,0.0233568
0.0206154,0.0332817
0.0262808,0.0216003
0.0707333,0.0257408
0.026286,0.0223821
0.0251798,0.0245371
0.0237726,0.0184269
0.0209614,0.0234071
0.018502,0.0237274
0.0216627,0.022534
0.0221757,0.0234163
0.0193921,0.020413
0.0211846,0.0249204
0.0244223,0.0250223
0.0249527,0.0225053
0.0241199,0.0214922
0.0230884,0.0278845
0.0212566,0.0205512
0.0207211,0.0273452
0.0186643,0.0201188
0.024184,0.0223618
0.0250053,0.0213867
0.0230903,0.0206106
0.0237106,0.027997
0.0222405,0.0233285
0.0187571,0.0225964
0.0248437,0.0258285
0.0297533,0.0266745
0.0281813,0.0257648
0.0224408,0.0204346
0.0222273,0.021797
0.0221571,0.0203776
0.0225008,0.0239105
0.0209665,0.0208275
0.0247617,0.0232856
0.0209928,0.0219706
0.02144,0.0284346
0.0235692,0.0229603
0.0254263,0.0219781
0.022046,0.0201041
0.0227334,0.0274458
0.023866,0.0233285
0.0229169,0.0231969
0.0207901,0.0221237
0.0204524,0.0233956
0.0202367,0.0250318
0.0227029,0.0192873
0.0260435,0.0207549
0.0215133,0.0239484
0.0212726,0.0245717
0.0289755,0.0182252
0.020669,0.0242545
0.0185106,0.0246919
0.0203936,0.0263247
0.0263009,0.0215715
0.0236544,0.0249031
0.0240895,0.0252743
0.022902,0.0245238
0.0201606,0.0211414
0.0264905,0.0203501
0.0223451,0.0243102
0.0228674,0.0216424
0.019217,0.0208663
0.0236466,0.0244246
0.0198445,0.0249422
0.0238349,0.0252741
0.0209977,0.0245985
0.0250793,0.0287252
0.0189836,0.0203258
0.0193958,0.0169024
0.0211565,0.0232292
0.0233482,0.0250335
0.0264602,0.0206225
0.0214472,0.0206572
0.0195042,0.0236922
0.0232303,0.0252726
0.0307937,0.0285378
0.0228725,0.0236566
0.0201212,0.0207101
0.0222213,0.0216513
0.022597,0.0265645
0.024625,0.0204942
0.0201173,0.023365
0.0201638,0.0251205
0.0235697,0.0245762
0.0225116,0.0230852
0.0208854,0.023251
0.0223031,0.0186151
0.0188264,0.0216669
0.0178764,0.0237777
0.0235558,0.0202263
0.0208906,0.0247302
0.0231322,0.0263579
0.0231263,0.0195009
0.0198554,0.0253159
0.0228486,0.0251596
0.0271471,0.0319583
0.035631,0.026241
0.0185279,0.0260585
0.0215073,0.0266018
0.0262571,0.0185303
0.0211255,0.0206009
0.0253737,0.0220489
0.0218728,0.0286691
0.0221635,0.0202729
0.0272775,0.0242867
0.0207659,0.0234203
0.0205258,0.0174228
0.0201906,0.0230536
0.0212362,0.0205505
0.0248392,0.0241626
0.0219694,0.0207402
0.0222266,0.0238986
0.0222075,0.0212797
0.0241899,0.0225634
0.018344,0.0222384
0.0221536,0.0239243
0.0217548,0.0279736
0.0252061,0.0233719
0.024912,0.0234315
0.0254208,0.023972
0.0206724,0.0218442
0.0223687,0.0223048
0.0232521,0.0254684
0.0253269,0.0424017
0.0210097,0.0261984
0.0238735,0.0226078
0.0240895,0.0251108
0.0230287,0.0224072
0.0247276,0.0183123
0.0243473,0.0245542
0.0208832,0.0248957
0.0253003,0.0287882
0.0221732,0.0236769
0.0241812,0.022042
0.0251904,0.0252781
0.0205223,0.0244033
0.022432,0.0222566
0.0204636,0.0208863
0.021276,0.0198969
0.0215673,0.0228614
0.0195684,0.0210468
0.0227005,0.028075
0.0237462,0.020234
0.0183525,0.0225909
0.0200151,0.0254528
0.0223923,0.0286503
0.0217834,0.0239063
0.0216445,0.0222487
0.0278291,0.0220162
0.0200377,0.0292404
0.0249934,0.0282997
0.0223893,0.0216917
0.019705,0.0222342
0.0223206,0.0230503
0.0269924,0.0228402
0.0218966,0.0271762
0.0211145,0.0214208
0.0225765,0.0206452
0.0253501,0.0256869
0.0247799,0.0207495
0.0233218,0.0266622
0.023516,0.139495
0.0268624,0.0234064
0.0249599,0.0253058
0.0220141,0.0290788
0.0286009,0.0299294
0.0219561,0.0248979
0.023829,0.0233848
0.0202742,0.0284672
0.0222522,0.0217887
0.0234483,0.0218377
0.0210977,0.0240779
0.0198457,0.0256689
0.0221061,0.0237376
0.0217609,0.0247363
0.0179706,0.0218505
0.0281425,0.0205017
0.0209802,0.0248407
0.0226065,0.0234973
0.0179455,0.027787
0.0230072,0.0200611
0.0194308,0.0223568
0.022098,0.0297371
0.0244938,0.0230557
0.0236477,0.0183002
0.0238193,0.0214507
0.0200469,0.0200126
0.0223235,0.0230675
0.0253793,0.0239281
0.02362,0.0240468
