xSize,tSize,Solution,Analytic,Error,Time
10,10,0.163088,0.244815,0.333834,0.0027032
10,11,0.16415,0.244815,0.329495,0.0038808
10,12,0.162087,0.244815,0.33792,0.0038099
10,13,0.1617,0.244815,0.339501,0.0040153
10,14,0.162549,0.244815,0.336036,0.004762
10,15,0.162162,0.244815,0.337616,0.004729
10,16,0.160823,0.244815,0.343084,0.0050077
10,17,0.160598,0.244815,0.344003,0.0053952
10,18,0.160398,0.244815,0.344821,0.0049887
10,19,0.160218,0.244815,0.345556,0.0055961
10,20,0.160822,0.244815,0.34309,0.0064855
10,21,0.159909,0.244815,0.346818,0.0064752
10,22,0.159775,0.244815,0.347364,0.0062112
10,23,0.160303,0.244815,0.34521,0.0028554
10,24,0.160159,0.244815,0.345797,0.0060389
10,25,0.160027,0.244815,0.346336,0.0046638
10,26,0.159341,0.244815,0.349136,0.0048597
10,27,0.159793,0.244815,0.347293,0.0068023
10,28,0.159688,0.244815,0.347719,0.0040952
10,29,0.159591,0.244815,0.348115,0.0080991
10,30,0.159501,0.244815,0.348485,0.0040315
10,31,0.159416,0.244815,0.348831,0.0084877
10,32,0.159337,0.244815,0.349154,0.0031769
10,33,0.158832,0.244815,0.351216,0.0093334
10,34,0.159193,0.244815,0.349744,0.006578
10,35,0.158724,0.244815,0.351659,0.0076669
10,36,0.158674,0.244815,0.351862,0.0055591
10,37,0.158627,0.244815,0.352055,0.006742
10,38,0.15895,0.244815,0.350735,0.0086277
10,39,0.158897,0.244815,0.350951,0.0074561
10,40,0.1585,0.244815,0.352575,0.0091942
10,41,0.158461,0.244815,0.352732,0.0063645
10,42,0.158425,0.244815,0.352881,0.0041209
10,43,0.15839,0.244815,0.353024,0.0040371
10,44,0.158356,0.244815,0.35316,0.0041567
10,45,0.15863,0.244815,0.352042,0.0044451
10,46,0.158294,0.244815,0.353414,0.0117315
10,47,0.158556,0.244815,0.352343,0.0125611
10,48,0.158237,0.244815,0.353648,0.0145821
10,49,0.15821,0.244815,0.353757,0.0130553
10,50,0.158184,0.244815,0.353862,0.0138
11,10,0.0944559,0.161268,0.414292,0.003654
11,11,0.0979012,0.161268,0.392928,0.0038342
11,12,0.0938737,0.161268,0.417902,0.0037266
11,13,0.0936465,0.161268,0.419311,0.004493
11,14,0.0963171,0.161268,0.40275,0.004803
11,15,0.0959346,0.161268,0.405122,0.005079
11,16,0.0931281,0.161268,0.422525,0.0048697
11,17,0.0929942,0.161268,0.423355,0.0053547
11,18,0.0928746,0.161268,0.424097,0.0055806
11,19,0.0927671,0.161268,0.424763,0.0056992
11,20,0.0946094,0.161268,0.41334,0.0064716
11,21,0.0925818,0.161268,0.425913,0.0063162
11,22,0.0925013,0.161268,0.426412,0.0069879
11,23,0.0940963,0.161268,0.416522,0.0068208
11,24,0.0939542,0.161268,0.417402,0.0077732
11,25,0.0938238,0.161268,0.418211,0.0073068
11,26,0.0922393,0.161268,0.428036,0.0083074
11,27,0.0935923,0.161268,0.419647,0.0083245
11,28,0.0934891,0.161268,0.420287,0.0089636
11,29,0.0933931,0.161268,0.420882,0.0098798
11,30,0.0933037,0.161268,0.421436,0.0092248
11,31,0.09322,0.161268,0.421955,0.0100099
11,32,0.0931417,0.161268,0.422441,0.0132023
11,33,0.09193,0.161268,0.429955,0.0097992
11,34,0.092999,0.161268,0.423326,0.0097653
11,35,0.0918638,0.161268,0.430365,0.0117384
11,36,0.0918334,0.161268,0.430554,0.010343
11,37,0.0918046,0.161268,0.430732,0.0117574
11,38,0.0927592,0.161268,0.424813,0.0120614
11,39,0.092707,0.161268,0.425136,0.0121491
11,40,0.0917266,0.161268,0.431216,0.0122679
11,41,0.0917031,0.161268,0.431361,0.0124683
11,42,0.0916807,0.161268,0.4315,0.0124219
11,43,0.0916593,0.161268,0.431633,0.0114244
11,44,0.0916389,0.161268,0.43176,0.0133878
11,45,0.0924429,0.161268,0.426774,0.0134263
11,46,0.0916006,0.161268,0.431997,0.0142879
11,47,0.09237,0.161268,0.427226,0.0153048
11,48,0.0915655,0.161268,0.432214,0.0149409
11,49,0.091549,0.161268,0.432317,0.0139844
11,50,0.0915332,0.161268,0.432415,0.014037
12,10,0.152058,0.228691,0.335097,0.0035785
12,11,0.153587,0.228691,0.328409,0.0044071
12,12,0.15096,0.228691,0.339898,0.0041902
12,13,0.150527,0.228691,0.341788,0.0045374
12,14,0.151706,0.228691,0.336632,0.0050391
12,15,0.151248,0.228691,0.338637,0.0052213
12,16,0.149534,0.228691,0.346134,0.0056422
12,17,0.149275,0.228691,0.347264,0.0057953
12,18,0.149044,0.228691,0.348276,0.0065294
12,19,0.148835,0.228691,0.349188,0.0063345
12,20,0.149645,0.228691,0.345645,0.0066989
12,21,0.148474,0.228691,0.350765,0.0068195
12,22,0.148317,0.228691,0.351452,0.0071009
12,23,0.149018,0.228691,0.348387,0.0077794
12,24,0.148844,0.228691,0.349149,0.0081175
12,25,0.148684,0.228691,0.34985,0.0090229
12,26,0.147804,0.228691,0.353696,0.008096
12,27,0.148398,0.228691,0.351097,0.0098363
12,28,0.148271,0.228691,0.351654,0.009028
12,29,0.148153,0.228691,0.352172,0.0099274
12,30,0.148042,0.228691,0.352656,0.0103542
12,31,0.147938,0.228691,0.353109,0.0110775
12,32,0.147841,0.228691,0.353534,0.0110061
12,33,0.147194,0.228691,0.356363,0.0097861
12,34,0.147664,0.228691,0.354309,0.0113825
12,35,0.147063,0.228691,0.356936,0.0094816
12,36,0.147003,0.228691,0.357199,0.0120174
12,37,0.146946,0.228691,0.357449,0.0127095
12,38,0.147365,0.228691,0.355615,0.0119445
12,39,0.1473,0.228691,0.355899,0.0126747
12,40,0.146791,0.228691,0.358126,0.0133596
12,41,0.146744,0.228691,0.35833,0.017197
12,42,0.1467,0.228691,0.358525,0.013276
12,43,0.146657,0.228691,0.358711,0.0125877
12,44,0.146617,0.228691,0.358888,0.0150792
12,45,0.14697,0.228691,0.357343,0.014336
12,46,0.14654,0.228691,0.359222,0.0142718
12,47,0.146879,0.228691,0.357743,0.0143525
12,48,0.14647,0.228691,0.359528,0.0154699
12,49,0.146438,0.228691,0.359672,0.0157294
12,50,0.146406,0.228691,0.35981,0.0173501
13,10,0.0976315,0.161268,0.3946,0.0041502
13,11,0.100965,0.161268,0.373928,0.0045777
13,12,0.0969836,0.161268,0.398618,0.004657
13,13,0.0967263,0.161268,0.400213,0.0050794
13,14,0.0992844,0.161268,0.384351,0.0058106
13,15,0.0988759,0.161268,0.386884,0.0057028
13,16,0.0961294,0.161268,0.403915,0.0054423
13,17,0.095973,0.161268,0.404885,0.006256
13,18,0.0958324,0.161268,0.405756,0.0071731
13,19,0.0957054,0.161268,0.406544,0.0067501
13,20,0.097451,0.161268,0.395719,0.0074492
13,21,0.0954848,0.161268,0.407911,0.0075162
13,22,0.0953885,0.161268,0.408509,0.0081319
13,23,0.096895,0.161268,0.399167,0.0097669
13,24,0.0967406,0.161268,0.400125,0.0094069
13,25,0.0965986,0.161268,0.401005,0.0099435
13,26,0.0950723,0.161268,0.41047,0.0106814
13,27,0.0963461,0.161268,0.402571,0.0090395
13,28,0.0962334,0.161268,0.403269,0.0101993
13,29,0.0961285,0.161268,0.40392,0.0111416
13,30,0.0960306,0.161268,0.404527,0.0113909
13,31,0.095939,0.161268,0.405095,0.011344
13,32,0.0958531,0.161268,0.405628,0.0114665
13,33,0.0946936,0.161268,0.412818,0.0114214
13,34,0.0956965,0.161268,0.406599,0.012528
13,35,0.0946118,0.161268,0.413325,0.0129284
13,36,0.0945741,0.161268,0.413559,0.0130985
13,37,0.0945384,0.161268,0.41378,0.0132738
13,38,0.0954326,0.161268,0.408235,0.0135657
13,39,0.0953751,0.161268,0.408592,0.0156518
13,40,0.0944414,0.161268,0.414381,0.013384
13,41,0.0944121,0.161268,0.414563,0.0145113
13,42,0.0943842,0.161268,0.414736,0.0140742
13,43,0.0943574,0.161268,0.414902,0.0156956
13,44,0.0943319,0.161268,0.415061,0.0134329
13,45,0.0950836,0.161268,0.410399,0.015742
13,46,0.0942839,0.161268,0.415358,0.0159453
13,47,0.095003,0.161268,0.410899,0.0177841
13,48,0.0942399,0.161268,0.415631,0.0159269
13,49,0.0942191,0.161268,0.41576,0.0175218
13,50,0.0941992,0.161268,0.415884,0.0183629
14,10,0.144995,0.217751,0.334126,0.0045638
14,11,0.146915,0.217751,0.325305,0.0052798
14,12,0.143848,0.217751,0.33939,0.0052903
14,13,0.14339,0.217751,0.341495,0.0052536
14,14,0.144838,0.217751,0.334845,0.0057387
14,15,0.144327,0.217751,0.337192,0.0056692
14,16,0.142319,0.217751,0.346412,0.0066236
14,17,0.142037,0.217751,0.347708,0.0068803
14,18,0.141783,0.217751,0.348875,0.0071422
14,19,0.141553,0.217751,0.349932,0.0073693
14,20,0.142523,0.217751,0.345475,0.008232
14,21,0.141152,0.217751,0.351773,0.0088442
14,22,0.140976,0.217751,0.352579,0.0100495
14,23,0.14181,0.217751,0.348752,0.009929
14,24,0.141611,0.217751,0.349666,0.010063
14,25,0.141427,0.217751,0.35051,0.0106252
14,26,0.140398,0.217751,0.355234,0.0103543
14,27,0.1411,0.217751,0.352013,0.009684
14,28,0.140953,0.217751,0.352686,0.0121553
14,29,0.140817,0.217751,0.353313,0.0108355
14,30,0.140689,0.217751,0.3539,0.0107294
14,31,0.140569,0.217751,0.35445,0.0126983
14,32,0.140457,0.217751,0.354966,0.0130439
14,33,0.139702,0.217751,0.358433,0.0128757
14,34,0.140251,0.217751,0.355909,0.01337
14,35,0.139551,0.217751,0.359126,0.0130921
14,36,0.139481,0.217751,0.359446,0.0144417
14,37,0.139415,0.217751,0.359749,0.0150441
14,38,0.139904,0.217751,0.357503,0.0166009
14,39,0.139828,0.217751,0.357852,0.0158394
14,40,0.139236,0.217751,0.360574,0.0152439
14,41,0.139181,0.217751,0.360823,0.0157161
14,42,0.139129,0.217751,0.361062,0.0166904
14,43,0.13908,0.217751,0.361289,0.0162192
14,44,0.139032,0.217751,0.361507,0.015926
14,45,0.139443,0.217751,0.359623,0.0162968
14,46,0.138943,0.217751,0.361916,0.0170795
14,47,0.139335,0.217751,0.360115,0.0183153
14,48,0.138861,0.217751,0.362292,0.0166708
14,49,0.138823,0.217751,0.36247,0.0191713
14,50,0.138786,0.217751,0.36264,0.0179283
15,10,0.0996587,0.161268,0.38203,0.0044766
15,11,0.103011,0.161268,0.361241,0.005522
15,12,0.0989695,0.161268,0.386303,0.0066331
15,13,0.0986911,0.161268,0.38803,0.0058196
15,14,0.101237,0.161268,0.372244,0.0066224
15,15,0.100802,0.161268,0.374939,0.0068346
15,16,0.0980344,0.161268,0.392102,0.0066474
15,17,0.0978597,0.161268,0.393185,0.007219
15,18,0.0977019,0.161268,0.394164,0.0079885
15,19,0.0975584,0.161268,0.395053,0.0085691
15,20,0.0992746,0.161268,0.384411,0.0095935
15,21,0.0973075,0.161268,0.396609,0.0084999
15,22,0.0971971,0.161268,0.397294,0.0091931
15,23,0.0986726,0.161268,0.388144,0.0093796
15,24,0.0985049,0.161268,0.389185,0.010458
15,25,0.0983503,0.161268,0.390143,0.0102244
15,26,0.0968319,0.161268,0.399558,0.0112381
15,27,0.0980748,0.161268,0.391851,0.0120074
15,28,0.0979516,0.161268,0.392615,0.012438
15,29,0.0978368,0.161268,0.393327,0.0132874
15,30,0.0977294,0.161268,0.393993,0.0121387
15,31,0.0976289,0.161268,0.394617,0.0130214
15,32,0.0975345,0.161268,0.395202,0.0140855
15,33,0.0963879,0.161268,0.402312,0.0126308
15,34,0.0973621,0.161268,0.396271,0.0146584
15,35,0.096291,0.161268,0.402912,0.0139274
15,36,0.0962463,0.161268,0.40319,0.0144123
15,37,0.0962038,0.161268,0.403453,0.015736
15,38,0.0970709,0.161268,0.398077,0.0161957
15,39,0.0970072,0.161268,0.398471,0.0161236
15,40,0.0960881,0.161268,0.40417,0.0167651
15,41,0.0960531,0.161268,0.404388,0.0155609
15,42,0.0960196,0.161268,0.404596,0.0171041
15,43,0.0959875,0.161268,0.404794,0.0175887
15,44,0.0959568,0.161268,0.404985,0.0196213
15,45,0.096684,0.161268,0.400476,0.0189119
15,46,0.0958992,0.161268,0.405342,0.0187897
15,47,0.0965943,0.161268,0.401032,0.0187158
15,48,0.095846,0.161268,0.405672,0.0177545
15,49,0.095821,0.161268,0.405827,0.0194627
15,50,0.0957969,0.161268,0.405976,0.0193755
16,10,0.140094,0.20985,0.332409,0.0045083
16,11,0.142359,0.20985,0.321613,0.0055966
16,12,0.138937,0.20985,0.337923,0.0059682
16,13,0.138467,0.20985,0.340163,0.0059117
16,14,0.140148,0.20985,0.332151,0.0067822
16,15,0.139599,0.20985,0.334767,0.0074552
16,16,0.137352,0.20985,0.345476,0.0071993
16,17,0.137054,0.20985,0.346896,0.0076508
16,18,0.136784,0.20985,0.348183,0.0076262
16,19,0.136538,0.20985,0.349353,0.0084811
16,20,0.137643,0.20985,0.344088,0.0091846
16,21,0.136107,0.20985,0.351406,0.0084016
16,22,0.135917,0.20985,0.352311,0.0103603
16,23,0.13686,0.20985,0.347818,0.0098147
16,24,0.136641,0.20985,0.348864,0.0124897
16,25,0.136438,0.20985,0.349831,0.0121017
16,26,0.135287,0.20985,0.355315,0.0121844
16,27,0.136075,0.20985,0.351558,0.0121651
16,28,0.135913,0.20985,0.352334,0.013038
16,29,0.135761,0.20985,0.353058,0.0124934
16,30,0.135618,0.20985,0.353736,0.0141049
16,31,0.135485,0.20985,0.354373,0.0131164
16,32,0.135359,0.20985,0.354971,0.0141942
16,33,0.134517,0.20985,0.358986,0.0134492
16,34,0.135129,0.20985,0.356066,0.0147895
16,35,0.134348,0.20985,0.35979,0.0152898
16,36,0.13427,0.20985,0.360161,0.0153282
16,37,0.134196,0.20985,0.360514,0.0149487
16,38,0.134739,0.20985,0.357924,0.0171471
16,39,0.134654,0.20985,0.358332,0.0163657
16,40,0.133994,0.20985,0.361477,0.0199241
16,41,0.133933,0.20985,0.361769,0.0198584
16,42,0.133874,0.20985,0.362048,0.0189931
16,43,0.133818,0.20985,0.362315,0.0193648
16,44,0.133764,0.20985,0.362571,0.0215465
16,45,0.134218,0.20985,0.360408,0.0183784
16,46,0.133663,0.20985,0.363052,0.0196439
16,47,0.134097,0.20985,0.360987,0.0209678
16,48,0.13357,0.20985,0.363496,0.0204016
16,49,0.133526,0.20985,0.363705,0.0123985
16,50,0.133484,0.20985,0.363907,0.0209684
17,10,0.101102,0.161268,0.373081,0.0045454
17,11,0.104536,0.161268,0.351787,0.0059106
17,12,0.100391,0.161268,0.377488,0.0055162
17,13,0.100099,0.161268,0.379297,0.0063245
17,14,0.102684,0.161268,0.363273,0.0073136
17,15,0.102226,0.161268,0.366109,0.0075782
17,16,0.0994001,0.161268,0.383633,0.0080621
17,17,0.0992114,0.161268,0.384803,0.0084547
17,18,0.0990399,0.161268,0.385867,0.0087498
17,19,0.0988831,0.161268,0.386839,0.008494
17,20,0.100605,0.161268,0.37616,0.0093808
17,21,0.0986071,0.161268,0.388551,0.0127276
17,22,0.0984848,0.161268,0.389309,0.0101846
17,23,0.0999598,0.161268,0.380163,0.0125071
17,24,0.0997791,0.161268,0.381283,0.0121631
17,25,0.0996123,0.161268,0.382317,0.0119987
17,26,0.0980767,0.161268,0.391839,0.0116687
17,27,0.0993143,0.161268,0.384165,0.0119573
17,28,0.0991807,0.161268,0.384994,0.014491
17,29,0.0990559,0.161268,0.385767,0.0143946
17,30,0.0989392,0.161268,0.386492,0.0159729
17,31,0.0988296,0.161268,0.387171,0.0157267
17,32,0.0987267,0.161268,0.387809,0.0142768
17,33,0.0975729,0.161268,0.394963,0.0147653
17,34,0.0985383,0.161268,0.388977,0.0179952
17,35,0.0974619,0.161268,0.395652,0.0150602
17,36,0.0974105,0.161268,0.395971,0.0157948
17,37,0.0973615,0.161268,0.396274,0.0174631
17,38,0.098219,0.161268,0.390957,0.0173925
17,39,0.0981491,0.161268,0.391391,0.0176509
17,40,0.0972279,0.161268,0.397103,0.0182131
17,41,0.0971873,0.161268,0.397355,0.0181377
17,42,0.0971484,0.161268,0.397596,0.0182828
17,43,0.0971111,0.161268,0.397827,0.0187097
17,44,0.0970754,0.161268,0.398048,0.0201328
17,45,0.0977926,0.161268,0.393601,0.0195695
17,46,0.0970082,0.161268,0.398465,0.0215311
17,47,0.0976934,0.161268,0.394216,0.0213534
17,48,0.0969462,0.161268,0.39885,0.0205865
17,49,0.0969169,0.161268,0.399031,0.0212
17,50,0.0968886,0.161268,0.399206,0.0230168
18,10,0.136491,0.20388,0.330531,0.0057562
18,11,0.139069,0.20388,0.317886,0.007021
18,12,0.135349,0.20388,0.336135,0.0061286
18,13,0.134877,0.20388,0.338446,0.0065312
18,14,0.13677,0.20388,0.329161,0.0073788
18,15,0.136195,0.20388,0.331984,0.0080599
18,16,0.133743,0.20388,0.344009,0.0082006
18,17,0.133436,0.20388,0.345515,0.009057
18,18,0.133156,0.20388,0.346888,0.0083215
18,19,0.1329,0.20388,0.348143,0.0099932
