Explicit,CN,ADI
0.469678,0.408548,14.7695
0.420813,0.445445,15.2167
0.415727,0.421255,15.0174
0.405636,0.442809,14.7327
0.43001,0.443906,14.8414
0.464907,0.433371,14.8167
0.432187,0.454647,15.0298
0.432692,0.460332,14.7925
0.443592,0.431791,14.9184
0.409026,0.468753,14.9807
0.419687,0.410383,14.5674
0.433979,0.461059,15.1417
0.438953,0.437698,14.4416
0.41653,0.425513,14.5433
0.443106,0.428733,15.079
0.408162,0.403267,14.4938
0.400941,0.412077,14.3709
0.430643,0.426426,14.4815
0.394718,0.41509,14.5188
0.4296,0.432557,14.3792
0.420623,0.425485,14.5344
0.428355,0.423155,14.4167
0.4247,0.422367,15.4328
0.469824,0.451529,15.563
0.451619,0.447799,14.5434
0.398246,0.411135,15.0775
0.430979,0.441327,16.0007
0.462305,0.494421,15.6322
0.471153,0.462276,15.4712
0.430284,0.473535,15.5774
0.470125,0.465123,15.5189
0.464547,0.467722,15.6739
0.438444,0.463587,15.6154
0.466129,0.472665,15.527
0.453202,0.480757,15.6553
0.452135,0.451736,15.5191
0.466725,0.469111,15.5897
0.467179,0.460505,15.6754
0.459967,0.458267,15.5864
0.457821,0.46902,15.5716
0.471564,0.474354,15.7527
0.461085,0.45852,15.9641
0.441971,0.466904,15.5836
0.440445,0.438897,15.7916
0.457251,0.464127,15.629
0.464908,0.468458,15.6845
0.437814,0.427194,15.653
0.485752,0.4655,15.7982
0.438262,0.491169,15.2928
0.428515,0.428902,15.4769
0.400218,0.407471,14.7914
0.41472,0.406091,15.1036
0.521928,0.466769,18.3236
0.410834,0.425285,15.0588
0.42128,0.42698,14.878
0.41463,0.445381,14.8722
0.471719,0.426713,15.0898
0.433641,0.437163,14.9722
0.434724,0.454742,15.0149
0.407485,0.44552,15.0176
0.438682,0.48025,15.006
0.442179,0.432473,14.9863
0.423444,0.421968,14.842
0.43843,0.439492,14.7686
0.469227,0.434057,14.847
0.456888,0.432094,14.7705
0.442468,0.44544,14.857
0.463799,0.434031,14.6712
0.434586,0.428767,14.8545
0.451648,0.441898,14.7994
0.429069,0.43875,14.7497
0.463967,0.450117,14.7724
0.439934,0.455817,14.7447
0.436723,0.440213,14.8446
0.42138,0.424938,14.4473
0.436439,0.437607,14.5368
0.413149,0.4144,14.9897
0.416325,0.428636,18.2953
0.417912,0.428288,17.6033
0.411346,0.4427,14.4001
0.421168,0.429464,14.5064
0.455172,0.438402,14.7199
0.430142,0.446018,14.3733
0.42937,0.44642,14.6526
0.431028,0.449498,15.8726
0.5364,0.522976,16.5531
0.455349,0.442414,15.0886
0.464408,0.461652,18.7488
0.526822,0.725592,18.3717
0.415465,0.484963,19.2955
0.483925,0.498186,17.2763
0.433544,0.467697,22.8109
0.464792,0.455179,16.5931
0.450929,0.440308,16.5644
0.458454,0.488063,16.0235
0.491037,0.470436,14.8237
0.42025,0.429001,14.9356
0.422037,0.432964,15.4041
0.550724,0.616948,15.9281
0.415488,0.431859,17.8476
1.03166,1.02685,17.716
0.546738,0.557775,20.0445
0.437401,0.490261,15.6957
0.406513,0.457888,15.4676
0.447351,0.477726,17.5869
0.472784,0.509712,21.5445
0.437886,0.477237,19.9549
0.452852,0.473036,17.6815
0.455072,0.454383,15.9618
0.465476,0.770741,17.1695
0.459496,0.526324,27.6729
0.490745,0.497412,17.8011
0.475343,0.503249,17.4693
2.15274,0.455768,16.1769
0.494901,0.477373,16.6447
0.485323,0.491195,18.2913
0.72727,0.461677,17.3149
0.448361,0.501387,16.2501
0.415954,0.568283,15.894
0.498388,0.47823,16.7562
0.426941,0.510573,16.3178
0.481203,4.14682,16.9427
0.522561,0.519241,17.0397
0.423307,0.4528,17.9693
0.489254,0.480489,18.178
0.442158,4.90528,17.4286
0.475885,0.478467,16.5826
0.549234,0.459157,15.7606
0.455351,0.454517,16.5202
0.451349,0.478116,16.5098
0.460184,0.56589,16.5681
0.487974,0.4496,17.8914
0.492243,0.481099,16.3669
0.433936,0.500733,16.1379
0.422441,0.596184,16.3921
0.426542,0.466867,18
0.436493,0.485412,15.51
0.451545,0.43159,15.3908
0.429082,0.411793,14.2329
0.424727,0.418341,14.2359
0.439355,0.414027,15.0364
0.415296,0.430817,14.9156
0.419988,0.423965,14.293
0.424794,0.436661,14.3001
0.440798,0.426275,14.2231
0.41206,0.419962,14.1908
0.427606,0.426488,14.1867
0.436409,0.415723,14.5253
0.422296,0.411083,14.9665
0.415743,0.49751,14.3022
0.460825,0.457024,15.4028
0.430359,0.414442,15.8862
0.397825,0.465379,15.0362
0.476807,0.507692,15.1227
0.441979,0.448456,14.6296
0.398796,0.42839,14.8263
0.397527,0.406736,14.7734
0.405643,0.448482,14.5715
0.409719,0.401453,14.7226
0.407856,0.446081,14.5566
0.418074,0.443623,14.6155
0.417484,0.418776,14.8123
0.418978,0.42335,14.7382
0.419322,0.418982,14.8841
0.413775,0.413642,14.7314
0.419842,0.415976,15.293
0.44142,0.450862,15.7734
0.470483,0.442719,14.6057
0.410444,0.46004,14.6763
0.408202,0.396572,15.7847
0.421366,0.458398,14.7979
0.407671,0.444805,15.6484
0.414459,0.442835,15.7668
0.556675,0.491551,14.9704
0.492467,0.459619,14.6239
0.420383,0.426364,14.1828
0.395303,0.426723,14.1487
0.447063,0.42667,14.6953
0.407606,0.428536,14.6216
0.442416,0.453362,14.8099
0.456979,0.442827,15.0013
0.45007,0.431549,15.2215
0.428938,0.494376,15.4417
0.446029,0.423957,16.5196
0.608275,0.547171,16.1832
0.386959,0.432052,15.1494
