xSize,tSize,Solution,Analytic,Error,Time
10,10,0.627078,0.601223,0.0430044,0.0032129
10,11,0.597855,0.601223,0.00560232,0.0036851
10,12,0.623947,0.601223,0.037796,0.003465
10,13,0.599509,0.601223,0.00285134,0.0044491
10,14,0.621577,0.601223,0.0338543,0.0042309
10,15,0.620595,0.601223,0.0322215,0.0042896
10,16,0.61972,0.601223,0.0307649,0.0040713
10,17,0.618934,0.601223,0.0294573,0.0055623
10,18,0.618224,0.601223,0.0282769,0.0054867
10,19,0.601854,0.601223,0.00104981,0.0058643
10,20,0.616993,0.601223,0.0262294,0.006092
10,21,0.616456,0.601223,0.0253358,0.006625
10,22,0.60241,0.601223,0.00197439,0.0081522
10,23,0.615507,0.601223,0.0237575,0.0067077
10,24,0.615086,0.601223,0.0230572,0.0074885
10,25,0.602788,0.601223,0.00260285,0.008701
10,26,0.614332,0.601223,0.0218031,0.0086416
10,27,0.613993,0.601223,0.0212394,0.0074541
10,28,0.613676,0.601223,0.0207124,0.0071701
10,29,0.613379,0.601223,0.0202186,0.0078222
10,30,0.6131,0.601223,0.0197551,0.0097713
10,31,0.603255,0.601223,0.00338018,0.0086952
10,32,0.60331,0.601223,0.00347118,0.0086759
10,33,0.612358,0.601223,0.01852,0.0083436
10,34,0.612137,0.601223,0.0181531,0.0096199
10,35,0.611928,0.601223,0.0178056,0.0096583
10,36,0.61173,0.601223,0.0174761,0.0109484
10,37,0.611542,0.601223,0.0171631,0.0090642
10,38,0.611363,0.601223,0.0168655,0.0089623
10,39,0.603588,0.601223,0.00393316,0.011527
10,40,0.61103,0.601223,0.016312,0.0112379
10,41,0.610875,0.601223,0.0160542,0.0136327
10,42,0.610727,0.601223,0.0158079,0.0154181
10,43,0.610586,0.601223,0.0155724,0.0127114
10,44,0.603714,0.601223,0.00414277,0.0464248
10,45,0.61032,0.601223,0.0151309,0.0180528
10,46,0.610196,0.601223,0.0149237,0.0127321
10,47,0.610076,0.601223,0.0147248,0.0169469
10,48,0.609961,0.601223,0.0145338,0.0133507
10,49,0.609851,0.601223,0.0143501,0.0137318
10,50,0.60382,0.601223,0.00431961,0.0162142
10,51,0.609642,0.601223,0.0140032,0.014187
10,52,0.603848,0.601223,0.00436605,0.0145664
10,53,0.603861,0.601223,0.00438742,0.0145739
10,54,0.603873,0.601223,0.00440768,0.0153151
10,55,0.609268,0.601223,0.0133814,0.016667
10,56,0.603896,0.601223,0.00444516,0.014718
10,57,0.603906,0.601223,0.00446252,0.0144032
10,58,0.60902,0.601223,0.0129688,0.0154437
10,59,0.608943,0.601223,0.0128401,0.0151964
10,60,0.608868,0.601223,0.0127155,0.0152364
11,10,0.642213,0.610498,0.05195,0.0032428
11,11,0.612415,0.610498,0.00313956,0.004358
11,12,0.638369,0.610498,0.0456535,0.0038725
11,13,0.613444,0.610498,0.00482524,0.0046353
11,14,0.635431,0.610498,0.0408399,0.0052449
11,15,0.634206,0.610498,0.038833,0.0047675
11,16,0.633109,0.610498,0.0370361,0.005314
11,17,0.63212,0.610498,0.0354177,0.0051455
11,18,0.631226,0.610498,0.0339521,0.005813
11,19,0.614528,0.610498,0.00660071,0.0060416
11,20,0.629667,0.610498,0.0313997,0.0067122
11,21,0.628985,0.610498,0.0302814,0.0063343
11,22,0.614659,0.610498,0.00681555,0.0070446
11,23,0.627775,0.610498,0.0283002,0.009614
11,24,0.627237,0.610498,0.0274184,0.0071127
11,25,0.614695,0.610498,0.00687502,0.0079889
11,26,0.62627,0.610498,0.0258351,0.0077229
11,27,0.625835,0.610498,0.0251217,0.0082387
11,28,0.625427,0.610498,0.0244537,0.0079081
11,29,0.625044,0.610498,0.023827,0.0106808
11,30,0.624685,0.610498,0.0232378,0.0115581
11,31,0.614647,0.610498,0.00679609,0.0101388
11,32,0.614632,0.610498,0.00677109,0.0090347
11,33,0.623724,0.610498,0.0216642,0.0113303
11,34,0.623438,0.610498,0.0211957,0.0117082
11,35,0.623167,0.610498,0.0207516,0.01133
11,36,0.622909,0.610498,0.02033,0.0101608
11,37,0.622665,0.610498,0.0199292,0.0103516
11,38,0.622432,0.610498,0.0195477,0.0110489
11,39,0.614507,0.610498,0.00656701,0.0126073
11,40,0.621998,0.610498,0.0188373,0.0110043
11,41,0.621796,0.610498,0.0185061,0.0120807
11,42,0.621603,0.610498,0.0181894,0.0124929
11,43,0.621418,0.610498,0.0178863,0.0131979
11,44,0.614415,0.610498,0.00641611,0.0131398
11,45,0.62107,0.610498,0.0173176,0.0153203
11,46,0.620907,0.610498,0.0170505,0.0183784
11,47,0.620751,0.610498,0.0167939,0.0176661
11,48,0.6206,0.610498,0.0165473,0.0145228
11,49,0.620455,0.610498,0.0163101,0.0144819
11,50,0.614311,0.610498,0.00624595,0.0165064
11,51,0.620182,0.610498,0.0158617,0.0167226
11,52,0.614279,0.610498,0.00619278,0.0175125
11,53,0.614263,0.610498,0.00616689,0.0184506
11,54,0.614247,0.610498,0.00614148,0.0186549
11,55,0.61969,0.610498,0.0150568,0.0167763
11,56,0.614217,0.610498,0.00609206,0.0178518
11,57,0.614203,0.610498,0.00606805,0.0186107
11,58,0.619363,0.610498,0.0145217,0.0182784
11,59,0.619262,0.610498,0.0143547,0.0191913
11,60,0.619163,0.610498,0.014193,0.0175053
12,10,0.637572,0.604284,0.0550862,0.0035268
12,11,0.608168,0.604284,0.00642732,0.0042804
12,12,0.633653,0.604284,0.0486014,0.0045676
12,13,0.609034,0.604284,0.00786044,0.0068765
12,14,0.630624,0.604284,0.0435889,0.0054826
12,15,0.629352,0.604284,0.0414843,0.0058522
12,16,0.628209,0.604284,0.0395924,0.0057504
12,17,0.627175,0.604284,0.0378819,0.0064499
12,18,0.626236,0.604284,0.0363278,0.0067289
12,19,0.609717,0.604284,0.00899048,0.0067758
12,20,0.624593,0.604284,0.0336091,0.0061025
12,21,0.623871,0.604284,0.032413,0.0070582
12,22,0.609692,0.604284,0.00894883,0.0083367
12,23,0.622585,0.604284,0.0302861,0.0075846
12,24,0.622011,0.604284,0.0293363,0.0072275
12,25,0.609595,0.604284,0.0087881,0.0085326
12,26,0.620978,0.604284,0.0276258,0.0081335
12,27,0.620511,0.604284,0.0268529,0.0084825
12,28,0.620073,0.604284,0.026128,0.0099341
12,29,0.619661,0.604284,0.0254468,0.0106934
12,30,0.619274,0.604284,0.0248054,0.0103736
12,31,0.609332,0.604284,0.00835355,0.011594
12,32,0.609286,0.604284,0.00827814,0.010844
12,33,0.618236,0.604284,0.0230878,0.0123645
12,34,0.617926,0.604284,0.0225751,0.0105729
12,35,0.617632,0.604284,0.0220884,0.0103999
12,36,0.617352,0.604284,0.0216259,0.0119907
12,37,0.617086,0.604284,0.0211858,0.0119743
12,38,0.616833,0.604284,0.0207665,0.012954
12,39,0.608982,0.604284,0.00777438,0.0121682
12,40,0.61636,0.604284,0.0199845,0.0127877
12,41,0.61614,0.604284,0.0196194,0.0120102
12,42,0.615929,0.604284,0.01927,0.016004
12,43,0.615726,0.604284,0.0189353,0.013426
12,44,0.608788,0.604284,0.00745402,0.0136403
