xSize,tSize,Solution,Analytic,Error,Time
10,10,0.920665,0.544719,0.690165,0.009288
10,11,0.92708,0.544719,0.701941,0.0071589
10,12,0.932328,0.544719,0.711575,0.0086612
10,13,0.936701,0.544719,0.719604,0.011342
10,14,0.940401,0.544719,0.726397,0.0089515
10,15,0.943573,0.544719,0.73222,0.0064869
10,16,0.946322,0.544719,0.737267,0.0081333
10,17,0.948728,0.544719,0.741682,0.0068901
10,18,0.95085,0.544719,0.745579,0.0116759
10,19,0.952737,0.544719,0.749042,0.0116331
10,20,0.954424,0.544719,0.752141,0.0121201
10,21,0.955944,0.544719,0.75493,0.0091855
10,22,0.957318,0.544719,0.757453,0.010547
10,23,0.958568,0.544719,0.759747,0.0784028
10,24,0.959709,0.544719,0.761841,0.0128742
10,25,0.960754,0.544719,0.763761,0.0104385
10,26,0.961716,0.544719,0.765527,0.0108189
10,27,0.962605,0.544719,0.767158,0.0106567
10,28,0.963427,0.544719,0.768668,0.0114152
10,29,0.964191,0.544719,0.770069,0.0117621
10,30,0.964901,0.544719,0.771375,0.0104672
10,31,0.965565,0.544719,0.772593,0.0128973
10,32,0.966186,0.544719,0.773732,0.0160425
10,33,0.966768,0.544719,0.774801,0.0155316
10,34,0.967314,0.544719,0.775804,0.0104412
10,35,0.967829,0.544719,0.776749,0.014991
10,36,0.968314,0.544719,0.777639,0.0165963
10,37,0.968772,0.544719,0.77848,0.0144476
10,38,0.969206,0.544719,0.779276,0.0116821
10,39,0.969616,0.544719,0.78003,0.0167566
10,40,0.970006,0.544719,0.780745,0.0170709
10,41,0.970376,0.544719,0.781424,0.014617
10,42,0.970728,0.544719,0.78207,0.0184668
10,43,0.971063,0.544719,0.782686,0.0136061
10,44,0.971383,0.544719,0.783273,0.0134785
10,45,0.971688,0.544719,0.783833,0.0153966
10,46,0.971979,0.544719,0.784368,0.0222409
10,47,0.972258,0.544719,0.78488,0.0208121
10,48,0.972525,0.544719,0.78537,0.0214556
10,49,0.972781,0.544719,0.78584,0.019811
10,50,0.973026,0.544719,0.78629,0.0156182
10,51,0.973262,0.544719,0.786723,0.0203213
10,52,0.973488,0.544719,0.787139,0.0168621
10,53,0.973706,0.544719,0.787538,0.0184453
10,54,0.973916,0.544719,0.787923,0.0247598
10,55,0.974117,0.544719,0.788293,0.0252315
10,56,0.974312,0.544719,0.78865,0.0175579
10,57,0.974499,0.544719,0.788994,0.0220206
10,58,0.97468,0.544719,0.789326,0.0216636
10,59,0.974855,0.544719,0.789647,0.0198578
10,60,0.975023,0.544719,0.789956,0.0201585
10,61,0.975186,0.544719,0.790256,0.0207982
10,62,0.975344,0.544719,0.790545,0.0223527
10,63,0.975497,0.544719,0.790825,0.0208668
10,64,0.975645,0.544719,0.791097,0.0192775
10,65,0.975788,0.544719,0.79136,0.0213761
10,66,0.975926,0.544719,0.791614,0.0249699
10,67,0.976061,0.544719,0.791861,0.0213179
10,68,0.976192,0.544719,0.792101,0.0205072
10,69,0.976318,0.544719,0.792334,0.0206901
10,70,0.976441,0.544719,0.79256,0.0228453
10,71,0.976561,0.544719,0.792779,0.0231887
10,72,0.976677,0.544719,0.792992,0.0236197
10,73,0.97679,0.544719,0.793199,0.020429
10,74,0.9769,0.544719,0.793401,0.0219329
10,75,0.977007,0.544719,0.793597,0.0234586
10,76,0.977111,0.544719,0.793788,0.0260285
10,77,0.977212,0.544719,0.793974,0.0237929
10,78,0.977311,0.544719,0.794155,0.0208891
10,79,0.977407,0.544719,0.794332,0.0239793
10,80,0.9775,0.544719,0.794504,0.0238363
10,81,0.977592,0.544719,0.794671,0.0259443
10,82,0.977681,0.544719,0.794835,0.0238562
10,83,0.977768,0.544719,0.794995,0.0273693
10,84,0.977853,0.544719,0.79515,0.0260717
10,85,0.977935,0.544719,0.795302,0.0268604
10,86,0.978016,0.544719,0.795451,0.0256005
10,87,0.978095,0.544719,0.795596,0.0258497
10,88,0.978172,0.544719,0.795737,0.0250581
