xSize,tSize,Solution,Analytic,Error,Time
10,10,0.0335024,0.0660684,0.492913,0.0013736
10,11,0.0356978,0.0660684,0.459684,0.0015476
10,12,0.0327036,0.0660684,0.505004,0.001296
10,13,0.0324026,0.0660684,0.50956,0.0014208
10,14,0.0341731,0.0660684,0.482762,0.0014803
10,15,0.0338087,0.0660684,0.488278,0.0018914
10,16,0.0317372,0.0660684,0.519632,0.0016621
10,17,0.03157,0.0660684,0.522161,0.0015979
10,18,0.0314223,0.0660684,0.524397,0.0020332
10,19,0.0312908,0.0660684,0.526388,0.0018854
10,20,0.0325576,0.0660684,0.507213,0.0026884
10,21,0.0310668,0.0660684,0.529779,0.0019906
10,22,0.0309706,0.0660684,0.531235,0.002276
10,23,0.0320782,0.0660684,0.51447,0.0024345
10,24,0.0319461,0.0660684,0.51647,0.0021978
10,25,0.0318248,0.0660684,0.518305,0.0023212
10,26,0.030662,0.0660684,0.535906,0.0023932
10,27,0.0316102,0.0660684,0.521554,0.003185
10,28,0.0315147,0.0660684,0.522999,0.0027461
10,29,0.0314261,0.0660684,0.524341,0.0026501
10,30,0.0313435,0.0660684,0.525591,0.0027105
10,31,0.0312664,0.0660684,0.526758,0.0028056
10,32,0.0311942,0.0660684,0.52785,0.0032048
10,33,0.0303059,0.0660684,0.541295,0.0029999
10,34,0.031063,0.0660684,0.529837,0.0031655
10,35,0.0302309,0.0660684,0.54243,0.0030039
10,36,0.0301966,0.0660684,0.54295,0.0030032
10,37,0.0301642,0.0660684,0.54344,0.0030334
10,38,0.0308429,0.0660684,0.533168,0.0034318
10,39,0.030795,0.0660684,0.533892,0.0033143
10,40,0.0300768,0.0660684,0.544763,0.003676
10,41,0.0300506,0.0660684,0.54516,0.0034473
10,42,0.0300256,0.0660684,0.545538,0.0046339
10,43,0.0300018,0.0660684,0.545898,0.0037806
10,44,0.0299791,0.0660684,0.546241,0.0037254
10,45,0.0305537,0.0660684,0.537545,0.0037913
10,46,0.0299368,0.0660684,0.546882,0.0041258
10,47,0.0304871,0.0660684,0.538552,0.0041846
10,48,0.029898,0.0660684,0.54747,0.0041804
10,49,0.0298798,0.0660684,0.547745,0.0040528
10,50,0.0298623,0.0660684,0.548009,0.004029
11,10,0.0188481,0.0351986,0.464521,0.0015771
11,11,0.0205898,0.0351986,0.415039,0.0017779
11,12,0.0183836,0.0351986,0.477718,0.0013346
11,13,0.0182087,0.0351986,0.482687,0.002121
11,14,0.0195805,0.0351986,0.443713,0.0017307
11,15,0.0193407,0.0351986,0.450525,0.0025287
11,16,0.0178222,0.0351986,0.493669,0.0021866
11,17,0.0177251,0.0351986,0.496426,0.0018271
11,18,0.0176393,0.0351986,0.498863,0.0020015
11,19,0.017563,0.0351986,0.501033,0.0022143
11,20,0.0185219,0.0351986,0.473788,0.0020638
11,21,0.0174328,0.0351986,0.50473,0.0023792
11,22,0.0173769,0.0351986,0.506317,0.0024966
11,23,0.0182099,0.0351986,0.482653,0.0026282
11,24,0.018124,0.0351986,0.485093,0.002424
11,25,0.0180453,0.0351986,0.487328,0.0026286
11,26,0.0171976,0.0351986,0.511412,0.0026462
11,27,0.0179062,0.0351986,0.491282,0.0026602
11,28,0.0178443,0.0351986,0.493038,0.0042399
11,29,0.0177869,0.0351986,0.494669,0.0028772
11,30,0.0177335,0.0351986,0.496187,0.0028621
11,31,0.0176836,0.0351986,0.497604,0.0034141
11,32,0.017637,0.0351986,0.498929,0.0040878
11,33,0.0169907,0.0351986,0.517291,0.003277
11,34,0.0175522,0.0351986,0.501338,0.0032727
11,35,0.0169471,0.0351986,0.518531,0.0032917
11,36,0.0169271,0.0351986,0.519098,0.003403
11,37,0.0169082,0.0351986,0.519634,0.0037953
11,38,0.0174102,0.0351986,0.505372,0.0037688
11,39,0.0173794,0.0351986,0.506248,0.0038095
11,40,0.0168574,0.0351986,0.521078,0.0041271
11,41,0.0168421,0.0351986,0.521511,0.0039979
11,42,0.0168276,0.0351986,0.521924,0.0037626
11,43,0.0168138,0.0351986,0.522317,0.0040818
11,44,0.0168006,0.0351986,0.522692,0.0041186
11,45,0.0172239,0.0351986,0.510665,0.0041829
