xValues,tValues,Solution
0,0,0
0.0204082,0,0
0.0408163,0,0
0.0612245,0,0
0.0816327,0,0
0.102041,0,0
0.122449,0,0
0.142857,0,0
0.163265,0,0
0.183673,0,0
0.204082,0,0
0.22449,0,0
0.244898,0,0
0.265306,0,0
0.285714,0,0
0.306122,0,0
0.326531,0,0
0.346939,0,0
0.367347,0,0
0.387755,0,0
0.408163,0,0
0.428571,0,0
0.44898,0,0
0.469388,0,0
0.489796,0,0
0.510204,0,0.0102041
0.530612,0,0.0306122
0.55102,0,0.0510204
0.571429,0,0.0714286
0.591837,0,0.0918367
0.612245,0,0.112245
0.632653,0,0.132653
0.653061,0,0.153061
0.673469,0,0.173469
0.693878,0,0.193878
0.714286,0,0.214286
0.734694,0,0.234694
0.755102,0,0.255102
0.77551,0,0.27551
0.795918,0,0.295918
0.816327,0,0.316327
0.836735,0,0.336735
0.857143,0,0.357143
0.877551,0,0.377551
0.897959,0,0.397959
0.918367,0,0.418367
0.938776,0,0.438776
0.959184,0,0.459184
0.979592,0,0.479592
1,0,0.524385
0,0.0204082,0
0.0204082,0.0204082,0
0.0408163,0.0204082,0
0.0612245,0.0204082,0
0.0816327,0.0204082,0
0.102041,0.0204082,0
0.122449,0.0204082,0
0.142857,0.0204082,0
0.163265,0.0204082,0
0.183673,0.0204082,0
0.204082,0.0204082,0
0.22449,0.0204082,0
0.244898,0.0204082,0
0.265306,0.0204082,0
0.285714,0.0204082,0
0.306122,0.0204082,0
0.326531,0.0204082,0
0.346939,0.0204082,0
0.367347,0.0204082,0
0.387755,0.0204082,0
0.408163,0.0204082,0
0.428571,0.0204082,0
0.44898,0.0204082,0
0.469388,0.0204082,0.000106696
0.489796,0.0204082,0.00209378
0.510204,0.0204082,0.0125249
0.530612,0.0204082,0.030877
0.55102,0.0204082,0.051037
0.571429,0.0204082,0.071401
0.591837,0.0204082,0.0917898
0.612245,0.0204082,0.112182
0.632653,0.0204082,0.132575
0.653061,0.0204082,0.152968
0.673469,0.0204082,0.173361
0.693878,0.0204082,0.193755
0.714286,0.0204082,0.214149
0.734694,0.0204082,0.234543
0.755102,0.0204082,0.254938
0.77551,0.0204082,0.275333
0.795918,0.0204082,0.295728
0.816327,0.0204082,0.316123
0.836735,0.0204082,0.336519
0.857143,0.0204082,0.356915
0.877551,0.0204082,0.377311
0.897959,0.0204082,0.397707
0.918367,0.0204082,0.418104
0.938776,0.0204082,0.438501
0.959184,0.0204082,0.461779
0.979592,0.0204082,0.360063
1,0.0204082,0.5239
0,0.0408163,0
0.0204082,0.0408163,0
0.0408163,0.0408163,0
0.0612245,0.0408163,0
0.0816327,0.0408163,0
0.102041,0.0408163,0
0.122449,0.0408163,0
0.142857,0.0408163,0
0.163265,0.0408163,0
0.183673,0.0408163,0
0.204082,0.0408163,0
0.22449,0.0408163,0
0.244898,0.0408163,0
0.265306,0.0408163,0
0.285714,0.0408163,0
0.306122,0.0408163,0
0.326531,0.0408163,0
0.346939,0.0408163,0
0.367347,0.0408163,0
0.387755,0.0408163,0
0.408163,0.0408163,0
0.428571,0.0408163,8.02861e-07
0.44898,0.0408163,3.45473e-05
0.469388,0.0408163,0.000534768
0.489796,0.0408163,0.00385452
0.510204,0.0408163,0.0143654
0.530612,0.0408163,0.0314821
0.55102,0.0408163,0.0511422
0.571429,0.0408163,0.071391
0.591837,0.0408163,0.0917461
0.612245,0.0408163,0.11212
0.632653,0.0408163,0.132497
0.653061,0.0408163,0.152875
0.673469,0.0408163,0.173254
0.693878,0.0408163,0.193633
0.714286,0.0408163,0.214013
0.734694,0.0408163,0.234393
0.755102,0.0408163,0.254774
0.77551,0.0408163,0.275156
0.795918,0.0408163,0.295538
0.816327,0.0408163,0.315921
0.836735,0.0408163,0.336304
0.857143,0.0408163,0.356687
0.877551,0.0408163,0.377071
0.897959,0.0408163,0.397456
0.918367,0.0408163,0.418138
0.938776,0.0408163,0.425857
0.959184,0.0408163,0.429618
0.979592,0.0408163,0.348596
1,0.0408163,0.523414
0,0.0612245,0
0.0204082,0.0612245,0
0.0408163,0.0612245,0
0.0612245,0.0612245,0
0.0816327,0.0612245,0
0.102041,0.0612245,0
0.122449,0.0612245,0
0.142857,0.0612245,0
0.163265,0.0612245,0
0.183673,0.0612245,0
0.204082,0.0612245,0
0.22449,0.0612245,0
0.244898,0.0612245,0
0.265306,0.0612245,0
0.285714,0.0612245,0
0.306122,0.0612245,0
0.326531,0.0612245,0
0.346939,0.0612245,0
0.367347,0.0612245,0
0.387755,0.0612245,4.19105e-09
0.408163,0.0612245,3.21181e-07
0.428571,0.0612245,9.39728e-06
0.44898,0.0612245,0.000137918
0.469388,0.0612245,0.00112428
0.489796,0.0612245,0.00537483
0.510204,0.0612245,0.0159191
0.530612,0.0612245,0.0322191
0.55102,0.0612245,0.0513533
0.571429,0.0612245,0.0714147
0.591837,0.0612245,0.0917109
0.612245,0.0612245,0.112059
0.632653,0.0612245,0.132419
0.653061,0.0612245,0.152782
0.673469,0.0612245,0.173146
0.693878,0.0612245,0.193511
0.714286,0.0612245,0.213877
0.734694,0.0612245,0.234243
0.755102,0.0612245,0.254611
0.77551,0.0612245,0.274979
0.795918,0.0612245,0.295348
0.816327,0.0612245,0.315718
0.836735,0.0612245,0.336089
0.857143,0.0612245,0.35646
0.877551,0.0612245,0.376859
0.897959,0.0612245,0.396102
0.918367,0.0612245,0.411245
0.938776,0.0612245,0.412648
0.959184,0.0612245,0.415423
0.979592,0.0612245,0.337272
1,0.0612245,0.522927
0,0.0816327,0
0.0204082,0.0816327,0
0.0408163,0.0816327,0
0.0612245,0.0816327,0
0.0816327,0.0816327,0
0.102041,0.0816327,0
0.122449,0.0816327,0
0.142857,0.0816327,0
0.163265,0.0816327,0
0.183673,0.0816327,0
0.204082,0.0816327,0
0.22449,0.0816327,0
0.244898,0.0816327,0
0.265306,0.0816327,0
0.285714,0.0816327,0
0.306122,0.0816327,0
0.326531,0.0816327,0
0.346939,0.0816327,1.45149e-11
0.367347,0.0816327,1.83112e-09
0.387755,0.0816327,9.04329e-08
0.408163,0.0816327,2.31675e-06
0.428571,0.0816327,3.43537e-05
0.44898,0.0816327,0.000311694
0.469388,0.0816327,0.00179054
0.489796,0.0816327,0.00671989
0.510204,0.0816327,0.0172824
0.530612,0.0816327,0.0330016
0.55102,0.0816327,0.0516499
0.571429,0.0816327,0.0714813
0.591837,0.0816327,0.0916904
0.612245,0.0816327,0.112003
0.632653,0.0816327,0.132343
0.653061,0.0816327,0.152689
0.673469,0.0816327,0.173038
0.693878,0.0816327,0.193389
0.714286,0.0816327,0.213741
0.734694,0.0816327,0.234094
0.755102,0.0816327,0.254448
0.77551,0.0816327,0.274803
0.795918,0.0816327,0.295159
0.816327,0.0816327,0.315516
0.836735,0.0816327,0.335876
0.857143,0.0816327,0.356149
0.877551,0.0816327,0.37573
0.897959,0.0816327,0.392481
0.918367,0.0816327,0.40397
0.938776,0.0816327,0.402256
0.959184,0.0816327,0.404756
0.979592,0.0816327,0.330866
1,0.0816327,0.52244
0,0.102041,0
0.0204082,0.102041,0
0.0408163,0.102041,0
0.0612245,0.102041,0
