xSize,tSize,Solution,Analytic,Error,Time
10,10,0.0730436,0.0927747,0.212677,0.0027282
10,11,0.0739968,0.0927747,0.202403,0.0038523
10,12,0.0729101,0.0927747,0.214116,0.0037018
10,13,0.072859,0.0927747,0.214667,0.0044684
10,14,0.0735989,0.0927747,0.206692,0.0048153
10,15,0.0735039,0.0927747,0.207716,0.0053929
10,16,0.0734214,0.0927747,0.208606,0.0059742
10,17,0.0727155,0.0927747,0.216214,0.0059156
10,18,0.0726897,0.0927747,0.216492,0.0078953
10,19,0.0726667,0.0927747,0.21674,0.0084049
10,20,0.0731777,0.0927747,0.211232,0.0072205
10,21,0.0726273,0.0927747,0.217165,0.0080079
10,22,0.0726102,0.0927747,0.217349,0.0048271
10,23,0.0730528,0.0927747,0.212578,0.0053069
10,24,0.0730184,0.0927747,0.21295,0.0055052
10,25,0.0729868,0.0927747,0.21329,0.0048186
10,26,0.0725554,0.0927747,0.21794,0.0090325
10,27,0.0729309,0.0927747,0.213893,0.0084175
10,28,0.072906,0.0927747,0.214161,0.0093403
10,29,0.0728829,0.0927747,0.21441,0.0098227
10,30,0.0728614,0.0927747,0.214641,0.0135723
10,31,0.0728413,0.0927747,0.214858,0.0154314
10,32,0.0728225,0.0927747,0.21506,0.0106712
10,33,0.0724916,0.0927747,0.218628,0.0104752
10,34,0.0727884,0.0927747,0.215429,0.0104797
10,35,0.0724781,0.0927747,0.218773,0.0109067
10,36,0.0724719,0.0927747,0.21884,0.0129133
10,37,0.072466,0.0927747,0.218903,0.0137224
10,38,0.0727311,0.0927747,0.216047,0.0075414
10,39,0.0727186,0.0927747,0.216181,0.0094025
10,40,0.0724502,0.0927747,0.219073,0.011383
10,41,0.0724455,0.0927747,0.219125,0.0120564
10,42,0.072441,0.0927747,0.219173,0.0122234
10,43,0.0724367,0.0927747,0.21922,0.0134552
10,44,0.0724325,0.0927747,0.219264,0.0079676
10,45,0.0726558,0.0927747,0.216858,0.0081409
10,46,0.0724249,0.0927747,0.219347,0.0136852
10,47,0.0726384,0.0927747,0.217045,0.0226849
10,48,0.0724178,0.0927747,0.219423,0.0110607
10,49,0.0724145,0.0927747,0.219459,0.01501
10,50,0.0724113,0.0927747,0.219493,0.0173814
11,10,0.0321889,0.0522529,0.383979,0.0036719
11,11,0.0340889,0.0522529,0.347617,0.0073117
11,12,0.0321237,0.0522529,0.385227,0.006278
11,13,0.0320987,0.0522529,0.385704,0.00478
11,14,0.0335717,0.0522529,0.357515,0.0051088
11,15,0.0334477,0.0522529,0.359888,0.0056109
11,16,0.03334,0.0522529,0.36195,0.0051601
11,17,0.0320287,0.0522529,0.387045,0.0060222
11,18,0.0320161,0.0522529,0.387286,0.0071686
11,19,0.0320049,0.0522529,0.387501,0.0061844
11,20,0.0330209,0.0522529,0.368056,0.0045746
11,21,0.0319856,0.0522529,0.38787,0.0076918
11,22,0.0319773,0.0522529,0.388028,0.0070545
11,23,0.0328569,0.0522529,0.371195,0.0080992
11,24,0.0328116,0.0522529,0.372061,0.0071126
11,25,0.0327701,0.0522529,0.372856,0.006639
11,26,0.0319505,0.0522529,0.388541,0.0071455
11,27,0.0326965,0.0522529,0.374264,0.0088611
11,28,0.0326638,0.0522529,0.374891,0.0134241
11,29,0.0326334,0.0522529,0.375473,0.0144369
11,30,0.032605,0.0522529,0.376015,0.0171574
11,31,0.0325786,0.0522529,0.376522,0.0063986
11,32,0.0325538,0.0522529,0.376996,0.0110969
11,33,0.0319193,0.0522529,0.389138,0.0114056
11,34,0.0325087,0.0522529,0.377859,0.0113616
11,35,0.0319127,0.0522529,0.389265,0.0098796
11,36,0.0319097,0.0522529,0.389322,0.012217
11,37,0.0319068,0.0522529,0.389377,0.0135494
11,38,0.0324331,0.0522529,0.379306,0.01463
11,39,0.0324166,0.0522529,0.379621,0.0138714
11,40,0.0318991,0.0522529,0.389525,0.0128833
11,41,0.0318968,0.0522529,0.38957,0.020345
11,42,0.0318946,0.0522529,0.389612,0.0162244
11,43,0.0318924,0.0522529,0.389652,0.0170166
11,44,0.0318904,0.0522529,0.389691,0.0119758
11,45,0.0323336,0.0522529,0.38121,0.0149927
11,46,0.0318867,0.0522529,0.389763,0.0124823
11,47,0.0323107,0.0522529,0.381648,0.0148618
11,48,0.0318832,0.0522529,0.389829,0.0162439
11,49,0.0318816,0.0522529,0.38986,0.0148786
11,50,0.03188,0.0522529,0.38989,0.0147307
12,10,0.0658488,0.0847247,0.222791,0.0038805
12,11,0.0669948,0.0847247,0.209265,0.0043355
12,12,0.0657101,0.0847247,0.224428,0.0044122
12,13,0.0656565,0.0847247,0.225061,0.0044469
12,14,0.0665426,0.0847247,0.214603,0.006157
12,15,0.0664342,0.0847247,0.215881,0.006801
12,16,0.0663401,0.0847247,0.216992,0.0052966
12,17,0.0655043,0.0847247,0.226857,0.0061192
12,18,0.0654767,0.0847247,0.227183,0.0055402
12,19,0.0654519,0.0847247,0.227475,0.0061173
12,20,0.0660616,0.0847247,0.22028,0.0069426
12,21,0.0654095,0.0847247,0.227977,0.0073327
12,22,0.0653911,0.0847247,0.228194,0.0082329
12,23,0.0659184,0.0847247,0.221969,0.0088008
12,24,0.0658789,0.0847247,0.222435,0.0095693
12,25,0.0658427,0.0847247,0.222863,0.0089794
12,26,0.0653316,0.0847247,0.228896,0.0095506
12,27,0.0657785,0.0847247,0.223621,0.0100345
12,28,0.0657499,0.0847247,0.223958,0.0116915
12,29,0.0657234,0.0847247,0.224271,0.0091424
12,30,0.0656987,0.0847247,0.224563,0.0096305
12,31,0.0656756,0.0847247,0.224835,0.0113208
12,32,0.065654,0.0847247,0.22509,0.0141108
12,33,0.0652618,0.0847247,0.229719,0.0162949
12,34,0.0656147,0.0847247,0.225555,0.0123843
12,35,0.065247,0.0847247,0.229894,0.011182
12,36,0.0652402,0.0847247,0.229974,0.0175581
12,37,0.0652338,0.0847247,0.23005,0.0159563
12,38,0.0655487,0.0847247,0.226333,0.0211623
12,39,0.0655344,0.0847247,0.226502,0.0188364
12,40,0.0652164,0.0847247,0.230255,0.020921
12,41,0.0652111,0.0847247,0.230317,0.0156663
12,42,0.0652062,0.0847247,0.230376,0.0148647
12,43,0.0652014,0.0847247,0.230432,0.0134761
12,44,0.0651969,0.0847247,0.230486,0.0153137
12,45,0.0654619,0.0847247,0.227357,0.0141941
12,46,0.0651884,0.0847247,0.230586,0.0176487
12,47,0.065442,0.0847247,0.227593,0.0154747
