xSize,tSize,Solution,Analytic,Error,Time
10,10,0.131481,0.244815,0.462936,0.0024528
10,11,0.129444,0.244815,0.471257,0.0023418
10,12,0.127778,0.244815,0.478065,0.0021962
10,13,0.126389,0.244815,0.483738,0.0019926
10,14,0.125214,0.244815,0.488538,0.0022176
10,15,0.124206,0.244815,0.492653,0.0022338
10,16,0.123333,0.244815,0.496219,0.0028241
10,17,0.122569,0.244815,0.499339,0.002973
10,18,0.121895,0.244815,0.502092,0.0027129
10,19,0.121296,0.244815,0.50454,0.0033243
10,20,0.12076,0.244815,0.506729,0.0038578
10,21,0.120278,0.244815,0.5087,0.002521
10,22,0.119841,0.244815,0.510483,0.0026542
10,23,0.119444,0.244815,0.512104,0.0025111
10,24,0.119082,0.244815,0.513584,0.0030479
10,25,0.11875,0.244815,0.514941,0.0039416
10,26,0.118444,0.244815,0.516189,0.0039143
10,27,0.118162,0.244815,0.517341,0.0042805
10,28,0.117901,0.244815,0.518407,0.0034013
10,29,0.117659,0.244815,0.519398,0.0037441
10,30,0.117433,0.244815,0.52032,0.0053333
10,31,0.117222,0.244815,0.521181,0.0052365
10,32,0.117025,0.244815,0.521986,0.0039861
10,33,0.11684,0.244815,0.522741,0.0045322
10,34,0.116667,0.244815,0.52345,0.0047238
10,35,0.116503,0.244815,0.524118,0.0048482
10,36,0.116349,0.244815,0.524747,0.0050725
10,37,0.116204,0.244815,0.525341,0.0041688
10,38,0.116066,0.244815,0.525904,0.0044007
10,39,0.115936,0.244815,0.526436,0.0046911
10,40,0.115812,0.244815,0.526942,0.005616
10,41,0.115694,0.244815,0.527422,0.0038294
10,42,0.115583,0.244815,0.527878,0.0048304
10,43,0.115476,0.244815,0.528313,0.0055206
10,44,0.115375,0.244815,0.528728,0.0057498
10,45,0.115278,0.244815,0.529124,0.0060214
10,46,0.115185,0.244815,0.529502,0.0054106
10,47,0.115097,0.244815,0.529864,0.0055628
10,48,0.115012,0.244815,0.53021,0.0060954
10,49,0.114931,0.244815,0.530542,0.0061308
10,50,0.114853,0.244815,0.53086,0.0055823
11,10,0.0277778,0.161268,0.827754,0.0018149
11,11,0.025,0.161268,0.844978,0.0022
11,12,0.0227273,0.161268,0.859071,0.0017572
11,13,0.0208333,0.161268,0.870815,0.0023827
11,14,0.0192308,0.161268,0.880753,0.0024375
11,15,0.0178571,0.161268,0.88927,0.0035363
11,16,0.0166667,0.161268,0.896652,0.0032905
11,17,0.015625,0.161268,0.903111,0.003513
11,18,0.0147059,0.161268,0.908811,0.00276
11,19,0.0138889,0.161268,0.913877,0.0031608
11,20,0.0131579,0.161268,0.91841,0.0031335
11,21,0.0125,0.161268,0.922489,0.0038865
11,22,0.0119048,0.161268,0.92618,0.0029014
11,23,0.0113636,0.161268,0.929536,0.0031268
11,24,0.0108696,0.161268,0.932599,0.0037344
11,25,0.0104167,0.161268,0.935408,0.0041994
11,26,0.01,0.161268,0.937991,0.0030007
11,27,0.00961538,0.161268,0.940376,0.0034827
11,28,0.00925926,0.161268,0.942585,0.0031843
11,29,0.00892857,0.161268,0.944635,0.0040819
11,30,0.00862069,0.161268,0.946544,0.0048016
11,31,0.00833333,0.161268,0.948326,0.0044887
11,32,0.00806452,0.161268,0.949993,0.0048451
11,33,0.0078125,0.161268,0.951556,0.0040715
11,34,0.00757576,0.161268,0.953024,0.0047819
11,35,0.00735294,0.161268,0.954405,0.0041998
11,36,0.00714286,0.161268,0.955708,0.0045285
11,37,0.00694444,0.161268,0.956938,0.0042836
11,38,0.00675676,0.161268,0.958102,0.0046273
11,39,0.00657895,0.161268,0.959205,0.0052024
11,40,0.00641026,0.161268,0.960251,0.0054165
11,41,0.00625,0.161268,0.961245,0.004429
11,42,0.00609756,0.161268,0.96219,0.0066362
11,43,0.00595238,0.161268,0.96309,0.0074013
11,44,0.00581395,0.161268,0.963948,0.0070696
11,45,0.00568182,0.161268,0.964768,0.0069086
11,46,0.00555556,0.161268,0.965551,0.0059803
11,47,0.00543478,0.161268,0.9663,0.0061575
11,48,0.00531915,0.161268,0.967017,0.0051665
11,49,0.00520833,0.161268,0.967704,0.004817
11,50,0.00510204,0.161268,0.968363,0.007137
12,10,0.113535,0.228691,0.503543,0.0018423
12,11,0.111273,0.228691,0.513437,0.0023709
12,12,0.109421,0.228691,0.521532,0.0027357
12,13,0.107879,0.228691,0.528278,0.0020975
12,14,0.106573,0.228691,0.533986,0.0021256
12,15,0.105455,0.228691,0.538878,0.0026077
12,16,0.104485,0.228691,0.543118,0.0025719
12,17,0.103636,0.228691,0.546829,0.0026667
12,18,0.102888,0.228691,0.550102,0.003118
12,19,0.102222,0.228691,0.553012,0.0032478
12,20,0.101627,0.228691,0.555616,0.002891
12,21,0.101091,0.228691,0.557959,0.0029439
12,22,0.100606,0.228691,0.560079,0.0036538
12,23,0.100165,0.228691,0.562007,0.0044849
12,24,0.0997628,0.228691,0.563766,0.0043146
12,25,0.0993939,0.228691,0.565379,0.0043482
12,26,0.0990545,0.228691,0.566864,0.004781
12,27,0.0987413,0.228691,0.568233,0.0041712
12,28,0.0984512,0.228691,0.569502,0.0034751
12,29,0.0981818,0.228691,0.57068,0.0038015
12,30,0.097931,0.228691,0.571776,0.0042384
12,31,0.097697,0.228691,0.5728,0.0037402
12,32,0.097478,0.228691,0.573757,0.0059651
12,33,0.0972727,0.228691,0.574655,0.0040329
12,34,0.0970799,0.228691,0.575498,0.0037272
12,35,0.0968984,0.228691,0.576292,0.0041184
12,36,0.0967273,0.228691,0.57704,0.0052433
12,37,0.0965657,0.228691,0.577747,0.0064834
12,38,0.0964128,0.228691,0.578415,0.0067618
12,39,0.0962679,0.228691,0.579048,0.0062293
12,40,0.0961305,0.228691,0.579649,0.0063778
12,41,0.096,0.228691,0.58022,0.0052261
12,42,0.0958758,0.228691,0.580763,0.0056303
12,43,0.0957576,0.228691,0.58128,0.0053553
12,44,0.0956448,0.228691,0.581773,0.0054163
12,45,0.0955372,0.228691,0.582244,0.0059822
12,46,0.0954343,0.228691,0.582694,0.0057749
12,47,0.095336,0.228691,0.583124,0.0055905
12,48,0.0952418,0.228691,0.583536,0.0073783
12,49,0.0951515,0.228691,0.58393,0.0056791
12,50,0.0950649,0.228691,0.584309,0.0059519
13,10,0.0322222,0.161268,0.800194,0.0021046
13,11,0.029,0.161268,0.820175,0.0021784
13,12,0.0263636,0.161268,0.836523,0.0022558
13,13,0.0241667,0.161268,0.850146,0.0019914
13,14,0.0223077,0.161268,0.861673,0.002565
13,15,0.0207143,0.161268,0.871553,0.0027511
13,16,0.0193333,0.161268,0.880117,0.0023984
13,17,0.018125,0.161268,0.887609,0.0028827
13,18,0.0170588,0.161268,0.894221,0.0026146
13,19,0.0161111,0.161268,0.900097,0.0037213
13,20,0.0152632,0.161268,0.905355,0.0035109
13,21,0.0145,0.161268,0.910087,0.0034307
13,22,0.0138095,0.161268,0.914369,0.0032138
13,23,0.0131818,0.161268,0.918261,0.0030722
13,24,0.0126087,0.161268,0.921815,0.003168
13,25,0.0120833,0.161268,0.925073,0.0038292
13,26,0.0116,0.161268,0.92807,0.0033943
13,27,0.0111538,0.161268,0.930836,0.0038054
13,28,0.0107407,0.161268,0.933398,0.0036651
13,29,0.0103571,0.161268,0.935777,0.0036331
13,30,0.01,0.161268,0.937991,0.0037113
13,31,0.00966667,0.161268,0.940058,0.0038413
13,32,0.00935484,0.161268,0.941992,0.004602
13,33,0.0090625,0.161268,0.943805,0.0050285
13,34,0.00878788,0.161268,0.945508,0.0053224
13,35,0.00852941,0.161268,0.94711,0.0045267
13,36,0.00828571,0.161268,0.948621,0.0043165
13,37,0.00805556,0.161268,0.950049,0.0064662
13,38,0.00783784,0.161268,0.951399,0.004749
