xValues,tValues,Solution
0,0,0
0.0408163,0,0
0.0816327,0,0
0.122449,0,0
0.163265,0,0
0.204082,0,0
0.244898,0,0
0.285714,0,0
0.326531,0,0
0.367347,0,0
0.408163,0,0
0.44898,0,0
0.489796,0,0
0.530612,0,0
0.571429,0,0
0.612245,0,0
0.653061,0,0
0.693878,0,0
0.734694,0,0
0.77551,0,0
0.816327,0,0
0.857143,0,0
0.897959,0,0
0.938776,0,0
0.979592,0,0
1.02041,0,0.0204082
1.06122,0,0.0612245
1.10204,0,0.102041
1.14286,0,0.142857
1.18367,0,0.183673
1.22449,0,0.22449
1.26531,0,0.265306
1.30612,0,0.306122
1.34694,0,0.346939
1.38776,0,0.387755
1.42857,0,0.428571
1.46939,0,0.469388
1.5102,0,0.510204
1.55102,0,0.55102
1.59184,0,0.591837
1.63265,0,0.632653
1.67347,0,0.673469
1.71429,0,0.714286
1.7551,0,0.755102
1.79592,0,0.795918
1.83673,0,0.836735
1.87755,0,0.877551
1.91837,0,0.918367
1.95918,0,0.959184
2,0,1.09516
0,0.0408163,0
0.0408163,0.0408163,0
0.0816327,0.0408163,0
0.122449,0.0408163,0
0.163265,0.0408163,0
0.204082,0.0408163,0
0.244898,0.0408163,0
0.285714,0.0408163,0
0.326531,0.0408163,0
0.367347,0.0408163,0
0.408163,0.0408163,0
0.44898,0.0408163,0
0.489796,0.0408163,0
0.530612,0.0408163,0
0.571429,0.0408163,0
0.612245,0.0408163,0
0.653061,0.0408163,0
0.693878,0.0408163,0
0.734694,0.0408163,0
0.77551,0.0408163,0
0.816327,0.0408163,0
0.857143,0.0408163,0
0.897959,0.0408163,0
0.938776,0.0408163,0.000735221
0.979592,0.0408163,0.00761262
1.02041,0.0408163,0.0288517
1.06122,0.0408163,0.0629094
1.10204,0.0408163,0.102398
1.14286,0.0408163,0.142906
1.18367,0.0408163,0.183616
1.22449,0.0408163,0.224369
1.26531,0.0408163,0.265132
1.30612,0.0408163,0.305899
1.34694,0.0408163,0.346668
1.38776,0.0408163,0.387438
1.42857,0.0408163,0.428209
1.46939,0.0408163,0.468982
1.5102,0.0408163,0.509755
1.55102,0.0408163,0.55053
1.59184,0.0408163,0.591306
1.63265,0.0408163,0.632083
1.67347,0.0408163,0.672861
1.71429,0.0408163,0.71364
1.7551,0.0408163,0.75442
1.79592,0.0408163,0.795201
1.83673,0.0408163,0.835983
1.87755,0.0408163,0.876765
1.91837,0.0408163,0.949992
1.95918,0.0408163,0.633635
2,0.0408163,1.09516
0,0.0816327,0
0.0408163,0.0816327,0
0.0816327,0.0816327,0
0.122449,0.0816327,0
0.163265,0.0816327,0
0.204082,0.0816327,0
0.244898,0.0816327,0
0.285714,0.0816327,0
0.326531,0.0816327,0
0.367347,0.0816327,0
0.408163,0.0816327,0
0.44898,0.0816327,0
0.489796,0.0816327,0
0.530612,0.0816327,0
0.571429,0.0816327,0
0.612245,0.0816327,0
0.653061,0.0816327,0
0.693878,0.0816327,0
0.734694,0.0816327,0
0.77551,0.0816327,0
0.816327,0.0816327,0
0.857143,0.0816327,1.94101e-05
0.897959,0.0816327,0.000404535
0.938776,0.0816327,0.00320141
0.979592,0.0816327,0.0132516
1.02041,0.0816327,0.0345753
1.06122,0.0816327,0.0660655
1.10204,0.0816327,0.103446
1.14286,0.0816327,0.143183
1.18367,0.0816327,0.183627
1.22449,0.0816327,0.224269
1.26531,0.0816327,0.264965
1.30612,0.0816327,0.305679
1.34694,0.0816327,0.346398
1.38776,0.0816327,0.387122
1.42857,0.0816327,0.427848
1.46939,0.0816327,0.468577
1.5102,0.0816327,0.509308
1.55102,0.0816327,0.550041
1.59184,0.0816327,0.590777
1.63265,0.0816327,0.631515
1.67347,0.0816327,0.672254
1.71429,0.0816327,0.712996
1.7551,0.0816327,0.75374
1.79592,0.0816327,0.794485
1.83673,0.0816327,0.84498
1.87755,0.0816327,0.7748
1.91837,0.0816327,0.934063
1.95918,0.0816327,0.709564
2,0.0816327,1.09516
0,0.122449,0
0.0408163,0.122449,0
0.0816327,0.122449,0
0.122449,0.122449,0
0.163265,0.122449,0
0.204082,0.122449,0
0.244898,0.122449,0
0.285714,0.122449,0
0.326531,0.122449,0
0.367347,0.122449,0
0.408163,0.122449,0
0.44898,0.122449,0
0.489796,0.122449,0
0.530612,0.122449,0
0.571429,0.122449,0
0.612245,0.122449,0
0.653061,0.122449,0
0.693878,0.122449,0
0.734694,0.122449,0
0.77551,0.122449,3.62017e-07
0.816327,0.122449,1.30447e-05
0.857143,0.122449,0.000183128
0.897959,0.122449,0.00134781
0.938776,0.122449,0.00598639
0.979592,0.122449,0.0178322
1.02041,0.122449,0.0392077
1.06122,0.122449,0.0692365
1.10204,0.122449,0.105026
1.14286,0.122449,0.14378
1.18367,0.122449,0.183776
1.22449,0.122449,0.22422
1.26531,0.122449,0.264817
1.30612,0.122449,0.305465
1.34694,0.122449,0.346132
1.38776,0.122449,0.386808
1.42857,0.122449,0.427489
1.46939,0.122449,0.468173
1.5102,0.122449,0.508862
1.55102,0.122449,0.549554
1.59184,0.122449,0.590249
1.63265,0.122449,0.630948
1.67347,0.122449,0.671649
1.71429,0.122449,0.712354
1.7551,0.122449,0.755624
1.79592,0.122449,0.766615
1.83673,0.122449,0.829735
1.87755,0.122449,0.786521
1.91837,0.122449,0.907867
1.95918,0.122449,0.678464
2,0.122449,1.09516
0,0.163265,0
0.0408163,0.163265,0
0.0816327,0.163265,0
0.122449,0.163265,0
0.163265,0.163265,0
0.204082,0.163265,0
0.244898,0.163265,0
0.285714,0.163265,0
0.326531,0.163265,0
0.367347,0.163265,0
0.408163,0.163265,0
0.44898,0.163265,0
0.489796,0.163265,0
0.530612,0.163265,0
0.571429,0.163265,0
0.612245,0.163265,0
0.653061,0.163265,0
0.693878,0.163265,4.56099e-09
0.734694,0.163265,2.67116e-07
0.77551,0.163265,6.16883e-06
0.816327,0.163265,7.52539e-05
0.857143,0.163265,0.0005508
0.897959,0.163265,0.00262662
0.938776,0.163265,0.00874985
0.979592,0.163265,0.0217776
1.02041,0.163265,0.043191
1.06122,0.163265,0.0722586
1.10204,0.163265,0.106831
1.14286,0.163265,0.14465
1.18367,0.163265,0.184094
1.22449,0.163265,0.224255
1.26531,0.163265,0.264705
1.30612,0.163265,0.305267
1.34694,0.163265,0.345873
1.38776,0.163265,0.386497
1.42857,0.163265,0.427131
1.46939,0.163265,0.467772
1.5102,0.163265,0.508417
1.55102,0.163265,0.549068
1.59184,0.163265,0.589723
1.63265,0.163265,0.630383
1.67347,0.163265,0.671631
1.71429,0.163265,0.705501
1.7551,0.163265,0.747287
1.79592,0.163265,0.764549
1.83673,0.163265,0.813149
1.87755,0.163265,0.768504
1.91837,0.163265,0.903069
1.95918,0.163265,0.677532
2,0.163265,1.09516
0,0.204082,0
0.0408163,0.204082,0
0.0816327,0.204082,0
0.122449,0.204082,0
0.163265,0.204082,0
0.204082,0.204082,0
0.244898,0.204082,0
0.285714,0.204082,0
0.326531,0.204082,0
0.367347,0.204082,0
0.408163,0.204082,0
0.44898,0.204082,0
0.489796,0.204082,0
0.530612,0.204082,0
0.571429,0.204082,0
0.612245,0.204082,3.67052e-11
0.653061,0.204082,3.41724e-09
0.693878,0.204082,1.25701e-07
0.734694,0.204082,2.44791e-06
0.77551,0.204082,2.85732e-05
0.816327,0.204082,0.000215297
0.857143,0.204082,0.00110741
0.897959,0.204082,0.00409006
0.938776,0.204082,0.0114093
0.979592,0.204082,0.0252891
1.02041,0.204082,0.0467336
1.06122,0.204082,0.0751105
1.10204,0.204082,0.108725
1.14286,0.204082,0.145704
1.18367,0.204082,0.184572
1.22449,0.204082,0.224389
1.26531,0.204082,0.264646
1.30612,0.204082,0.305094
1.34694,0.204082,0.345625
1.38776,0.204082,0.386192
1.42857,0.204082,0.426777
1.46939,0.204082,0.467372
1.5102,0.204082,0.507975
1.55102,0.204082,0.548584
1.59184,0.204082,0.589314
1.63265,0.204082,0.628624
1.67347,0.204082,0.668178
1.71429,0.204082,0.702489
1.7551,0.204082,0.739422
1.79592,0.204082,0.753828
1.83673,0.204082,0.805741
1.87755,0.204082,0.759901
1.91837,0.204082,0.895094
1.95918,0.204082,0.673577
2,0.204082,1.09516
0,0.244898,0
0.0408163,0.244898,0
0.0816327,0.244898,0
0.122449,0.244898,0
0.163265,0.244898,0
0.204082,0.244898,0
0.244898,0.244898,0
0.285714,0.244898,0
0.326531,0.244898,0
0.367347,0.244898,0
0.408163,0.244898,0
0.44898,0.244898,0
0.489796,0.244898,0
0.530612,0.244898,1.75639e-13
0.571429,0.244898,2.60751e-11
0.612245,0.244898,1.51884e-09
0.653061,0.244898,4.66195e-08
0.693878,0.244898,8.54157e-07
0.734694,0.244898,1.00408e-05
0.77551,0.244898,7.96578e-05
0.816327,0.244898,0.000444636
0.857143,0.244898,0.00181605
0.897959,0.244898,0.00564917
0.938776,0.244898,0.0139485
0.979592,0.244898,0.0284802
1.02041,0.244898,0.0499516
1.06122,0.244898,0.0778028
1.10204,0.244898,0.110641
1.14286,0.244898,0.146879
1.18367,0.244898,0.185181
1.22449,0.244898,0.224624
1.26531,0.244898,0.264649
1.30612,0.244898,0.304957
1.34694,0.244898,0.345396
1.38776,0.244898,0.385896
1.42857,0.244898,0.426428
1.46939,0.244898,0.466975
1.5102,0.244898,0.507554
1.55102,0.244898,0.547911
1.59184,0.244898,0.587985
1.63265,0.244898,0.626819
1.67347,0.244898,0.664726
1.71429,0.244898,0.696863
1.7551,0.244898,0.733436
1.79592,0.244898,0.74621
1.83673,0.244898,0.797276
1.87755,0.244898,0.753122
1.91837,0.244898,0.889907
1.95918,0.244898,0.670617
2,0.244898,1.09516
0,0.285714,0
0.0408163,0.285714,0
0.0816327,0.285714,0
0.122449,0.285714,0
0.163265,0.285714,0
0.204082,0.285714,0
0.244898,0.285714,0
0.285714,0.285714,0
0.326531,0.285714,0
0.367347,0.285714,0
0.408163,0.285714,0
0.44898,0.285714,4.54454e-16
0.489796,0.285714,1.10371e-13
0.530612,0.285714,1.03401e-11
0.571429,0.285714,5.03973e-10
0.612245,0.285714,1.45153e-08
0.653061,0.285714,2.6583e-07
