xSize,tSize,Solution,Analytic,Error,Time
10,10,0.920665,0.544719,0.690165,0.0015791
10,11,0.92708,0.544719,0.701941,0.0016695
10,12,0.932328,0.544719,0.711575,0.0015011
10,13,0.936701,0.544719,0.719604,0.0023179
10,14,0.940401,0.544719,0.726397,0.0029031
10,15,0.943573,0.544719,0.73222,0.002633
10,16,0.946322,0.544719,0.737267,0.0023493
10,17,0.948728,0.544719,0.741682,0.0023833
10,18,0.95085,0.544719,0.745579,0.0023125
10,19,0.952737,0.544719,0.749042,0.0027984
10,20,0.954424,0.544719,0.752141,0.0032933
10,21,0.955944,0.544719,0.75493,0.0029297
10,22,0.957318,0.544719,0.757453,0.0026388
10,23,0.958568,0.544719,0.759747,0.0037665
10,24,0.959709,0.544719,0.761841,0.004848
10,25,0.960754,0.544719,0.763761,0.0026119
10,26,0.961716,0.544719,0.765527,0.0028778
10,27,0.962605,0.544719,0.767158,0.002907
10,28,0.963427,0.544719,0.768668,0.0035568
10,29,0.964191,0.544719,0.770069,0.0047865
10,30,0.964901,0.544719,0.771375,0.0043062
10,31,0.965565,0.544719,0.772593,0.0048087
10,32,0.966186,0.544719,0.773732,0.003994
10,33,0.966768,0.544719,0.774801,0.0038967
10,34,0.967314,0.544719,0.775804,0.0041431
10,35,0.967829,0.544719,0.776749,0.0046133
10,36,0.968314,0.544719,0.777639,0.0044808
10,37,0.968772,0.544719,0.77848,0.0049658
10,38,0.969206,0.544719,0.779276,0.0064043
10,39,0.969616,0.544719,0.78003,0.0055282
10,40,0.970006,0.544719,0.780745,0.0042834
10,41,0.970376,0.544719,0.781424,0.007685
10,42,0.970728,0.544719,0.78207,0.0045651
10,43,0.971063,0.544719,0.782686,0.0051933
10,44,0.971383,0.544719,0.783273,0.0048243
10,45,0.971688,0.544719,0.783833,0.0052979
10,46,0.971979,0.544719,0.784368,0.0063585
10,47,0.972258,0.544719,0.78488,0.0058959
10,48,0.972525,0.544719,0.78537,0.0052306
10,49,0.972781,0.544719,0.78584,0.005712
10,50,0.973026,0.544719,0.78629,0.0049928
11,10,0.934742,0.553122,0.689938,0.0016565
11,11,0.941268,0.553122,0.701736,0.0019215
11,12,0.946607,0.553122,0.711389,0.0020159
11,13,0.951057,0.553122,0.719433,0.001977
11,14,0.954821,0.553122,0.726239,0.0021273
11,15,0.958048,0.553122,0.732074,0.0026094
11,16,0.960845,0.553122,0.73713,0.0024117
11,17,0.963292,0.553122,0.741554,0.0022556
11,18,0.965452,0.553122,0.745458,0.0021831
11,19,0.967371,0.553122,0.748928,0.0028388
11,20,0.969088,0.553122,0.752033,0.0030216
11,21,0.970634,0.553122,0.754827,0.0035829
11,22,0.972032,0.553122,0.757355,0.0032479
11,23,0.973304,0.553122,0.759654,0.0037682
11,24,0.974464,0.553122,0.761752,0.0032398
11,25,0.975528,0.553122,0.763676,0.0034507
11,26,0.976507,0.553122,0.765445,0.0032891
11,27,0.977411,0.553122,0.767079,0.0043496
11,28,0.978247,0.553122,0.768592,0.0033768
11,29,0.979024,0.553122,0.769996,0.0035488
11,30,0.979748,0.553122,0.771304,0.0037933
11,31,0.980423,0.553122,0.772524,0.0040126
11,32,0.981054,0.553122,0.773666,0.0038801
11,33,0.981646,0.553122,0.774736,0.0051123
11,34,0.982202,0.553122,0.775742,0.0042844
11,35,0.982726,0.553122,0.776688,0.0042903
11,36,0.983219,0.553122,0.777581,0.0053269
11,37,0.983686,0.553122,0.778423,0.0064564
11,38,0.984126,0.553122,0.779221,0.0043287
11,39,0.984544,0.553122,0.779976,0.0043616
11,40,0.98494,0.553122,0.780692,0.0048754
11,41,0.985317,0.553122,0.781373,0.0059897
11,42,0.985675,0.553122,0.78202,0.0060287
11,43,0.986016,0.553122,0.782637,0.0053002
11,44,0.986341,0.553122,0.783225,0.0067091
11,45,0.986652,0.553122,0.783786,0.0075762
11,46,0.986948,0.553122,0.784322,0.0065623
11,47,0.987232,0.553122,0.784835,0.00501
11,48,0.987504,0.553122,0.785327,0.0056819
11,49,0.987764,0.553122,0.785797,0.0056623
11,50,0.988014,0.553122,0.786249,0.0069013
12,10,0.925135,0.547492,0.689769,0.0020351
12,11,0.931604,0.547492,0.701584,0.0023872
12,12,0.936896,0.547492,0.711251,0.002525
12,13,0.941307,0.547492,0.719306,0.0023113
12,14,0.945039,0.547492,0.726123,0.0033236
12,15,0.948237,0.547492,0.731965,0.0023485
12,16,0.95101,0.547492,0.737029,0.0028961
12,17,0.953435,0.547492,0.741459,0.002367
12,18,0.955576,0.547492,0.745369,0.0024148
12,19,0.957478,0.547492,0.748844,0.00237
12,20,0.959181,0.547492,0.751953,0.002597
12,21,0.960713,0.547492,0.754751,0.0027465
12,22,0.962099,0.547492,0.757283,0.0032971
12,23,0.963359,0.547492,0.759585,0.0033858
12,24,0.964509,0.547492,0.761686,0.003992
12,25,0.965564,0.547492,0.763612,0.0031856
12,26,0.966534,0.547492,0.765385,0.0035345
12,27,0.96743,0.547492,0.767021,0.0036288
12,28,0.968259,0.547492,0.768535,0.0038713
12,29,0.969029,0.547492,0.769942,0.0037332
12,30,0.969746,0.547492,0.771251,0.0041228
12,31,0.970416,0.547492,0.772474,0.0039691
12,32,0.971042,0.547492,0.773617,0.0042844
12,33,0.971628,0.547492,0.774689,0.0042833
12,34,0.97218,0.547492,0.775696,0.0059857
12,35,0.972699,0.547492,0.776644,0.0045994
12,36,0.973188,0.547492,0.777537,0.0045701
12,37,0.97365,0.547492,0.778381,0.0055262
12,38,0.974087,0.547492,0.779179,0.0046477
12,39,0.974501,0.547492,0.779936,0.0055884
12,40,0.974894,0.547492,0.780653,0.0056348
12,41,0.975267,0.547492,0.781335,0.0048783
12,42,0.975622,0.547492,0.781983,0.0055664
12,43,0.97596,0.547492,0.782601,0.0072231
12,44,0.976282,0.547492,0.78319,0.0066412
12,45,0.97659,0.547492,0.783752,0.0063172
12,46,0.976884,0.547492,0.784289,0.0077848
12,47,0.977165,0.547492,0.784802,0.0057718
12,48,0.977435,0.547492,0.785294,0.0076588
12,49,0.977693,0.547492,0.785766,0.0058815
12,50,0.97794,0.547492,0.786218,0.0086176
13,10,0.934578,0.553122,0.68964,0.0025916
13,11,0.94112,0.553122,0.701468,0.0038834
13,12,0.946473,0.553122,0.711145,0.002463
13,13,0.950933,0.553122,0.71921,0.0024341
13,14,0.954708,0.553122,0.726034,0.0028068
13,15,0.957943,0.553122,0.731883,0.0029627
13,16,0.960747,0.553122,0.736952,0.0028882
13,17,0.9632,0.553122,0.741387,0.0028725
13,18,0.965365,0.553122,0.745301,0.0034109
13,19,0.967289,0.553122,0.748779,0.0033779
13,20,0.96901,0.553122,0.751892,0.0033677
13,21,0.97056,0.553122,0.754693,0.0043174
13,22,0.971962,0.553122,0.757228,0.0040466
13,23,0.973236,0.553122,0.759532,0.0046512
13,24,0.9744,0.553122,0.761636,0.0038126
13,25,0.975467,0.553122,0.763564,0.0033581
13,26,0.976448,0.553122,0.765338,0.0037433
13,27,0.977354,0.553122,0.766976,0.0041515
13,28,0.978193,0.553122,0.768493,0.0051135
13,29,0.978971,0.553122,0.769901,0.0039425
13,30,0.979696,0.553122,0.771212,0.0037322
13,31,0.980373,0.553122,0.772435,0.0039438
13,32,0.981006,0.553122,0.77358,0.0040421
13,33,0.9816,0.553122,0.774653,0.0044708
13,34,0.982158,0.553122,0.775661,0.0044978
13,35,0.982682,0.553122,0.77661,0.0045559
13,36,0.983177,0.553122,0.777504,0.0046648
13,37,0.983644,0.553122,0.778349,0.004756
13,38,0.984086,0.553122,0.779148,0.0066089
13,39,0.984505,0.553122,0.779905,0.0048756
13,40,0.984903,0.553122,0.780624,0.0052592
13,41,0.98528,0.553122,0.781306,0.0049659
13,42,0.985639,0.553122,0.781955,0.0078228
13,43,0.985981,0.553122,0.782573,0.0081705
13,44,0.986307,0.553122,0.783163,0.0065702
13,45,0.986618,0.553122,0.783725,0.0069279
13,46,0.986916,0.553122,0.784263,0.005688
13,47,0.9872,0.553122,0.784777,0.0059498
13,48,0.987472,0.553122,0.78527,0.0068364
13,49,0.987733,0.553122,0.785741,0.0057782
13,50,0.987984,0.553122,0.786194,0.006099
14,10,0.927709,0.549089,0.68954,0.0020112
14,11,0.934209,0.549089,0.701378,0.0024876
14,12,0.939527,0.549089,0.711064,0.0022962
14,13,0.943959,0.549089,0.719135,0.0031953
14,14,0.947709,0.549089,0.725964,0.0028819
14,15,0.950923,0.549089,0.731818,0.0033987
